TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,22558,15549,68.9289

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,VALOR,UNE,VAMOS,CAMBIO,CABAL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6810,"El Progreso",4,"Guastatoya",1,737,400,13,126,11,113,2,5,270,7,1,278,0,278,--,400,122,270,278,278,Algún campo sin dato,1,539c75327aab1330da9219e06619ca72f72438bd811d76a61bba7947925fe044,26/06/2023 02:20:15,ESCANER
6811,"El Progreso",4,"Guastatoya",1,737,400,13,131,13,122,2,1,282,12,1,295,0,295,--,400,105,282,295,295,Algún campo sin dato,1,3ac0341e609c912e522ce4ba9e7c08d1979fa4000cbfc799481fe1b65f52cee6,26/06/2023 02:29:46,ESCANER
6812,"El Progreso",4,"Guastatoya",1,737,400,15,107,13,152,2,1,290,7,0,297,0,297,--,400,103,290,297,297,Algún campo sin dato,1,b49d2024aed5acf64994f465b49560e8bc0619423cae2668a155f2b58f6b3e14,26/06/2023 01:40:11,ESCANER
6813,"El Progreso",4,"Guastatoya",1,737,400,17,127,5,124,1,4,278,14,2,294,0,294,--,400,106,278,294,294,Algún campo sin dato,1,fd876335095fe72d908eaabd2d46f82f29403d6ee639d54dc1ddaf7904a06ece,26/06/2023 01:47:42,ESCANER
6814,"El Progreso",4,"Guastatoya",1,737,400,13,123,8,145,2,6,297,11,2,310,0,310,--,400,90,297,310,310,Algún campo sin dato,1,077e670027b77dabe411f4344c137ae59deb0726eef6d3a0ea236c8a73812b0a,25/06/2023 23:46:10,ESCANER
6815,"El Progreso",4,"Guastatoya",1,737,400,12,119,11,139,2,8,291,13,1,305,0,305,--,400,95,291,305,305,Algún campo sin dato,1,93d84cb8cfbee007c2e797bf0143cd5f7da3833afa208b3b5db70fcc99678e21,26/06/2023 01:59:57,ESCANER
6816,"El Progreso",4,"Guastatoya",1,737,400,16,127,12,139,0,2,296,13,2,311,0,311,--,400,89,296,311,311,Algún campo sin dato,1,7e689a714207ab141d18d0a86dfe1c4be8d5706c37ac392df1aa0d73607aae26,25/06/2023 23:02:23,ESCANER
6817,"El Progreso",4,"Guastatoya",1,737,400,12,127,6,117,0,2,264,1,2,267,0,267,--,400,133,264,267,267,Algún campo sin dato,1,5d4511f0d9c538cbb6652ca3e4ea3e487cb1a4ea6f10185c811365731aa2aadc,26/06/2023 00:33:30,ESCANER
6818,"El Progreso",4,"Guastatoya",1,737,400,8,121,4,130,2,3,268,3,0,271,0,271,--,400,129,268,271,271,Algún campo sin dato,1,924a1025a1a5ad8dd65d393f6dec20e482ad5a31e05ee56ee98801cbab9e6728,25/06/2023 23:36:24,ESCANER
6819,"El Progreso",4,"Guastatoya",1,737,400,8,133,6,113,1,0,261,19,1,281,0,281,2,400,119,261,281,281,,1,28b9534c73d01873df9f740f46977ab0c827c5151e00b09f6728f90cb444b1d3,26/06/2023 02:09:11,ESCANER
6820,"El Progreso",4,"Guastatoya",1,738,400,14,144,7,106,0,3,274,6,1,281,0,281,--,400,119,274,281,281,Algún campo sin dato,1,7afb1f49605980db2f9d9030da3fdc0b1532f56362b18a13dbb194be0ade58dc,26/06/2023 03:14:19,ESCANER
6821,"El Progreso",4,"Guastatoya",1,738,400,16,123,3,117,2,2,263,7,2,272,0,272,--,400,128,263,272,272,Algún campo sin dato,1,6d1a11f5e2f0c66f6ab2a7edb4db6e46b9e969cd9ab7c6676206a835712456f9,26/06/2023 01:20:30,ESCANER
6822,"El Progreso",4,"Guastatoya",1,738,400,23,137,4,127,1,2,294,9,1,304,0,304,--,398,94,294,304,304,Algún campo sin dato,1,81bc6dd416081ff6492a9c4102c46bbb5e492f0a58390a9345393e936112739b,26/06/2023 03:05:09,ESCANER
6823,"El Progreso",4,"Guastatoya",1,738,400,10,101,4,129,0,2,246,7,1,--,--,254,--,399,145,246,254,254,Algún campo sin dato,1,29dbae10bea46cc1147dd23f90d8b8d23a706e7e23ccf6f28e2230f75ba46222,26/06/2023 01:49:59,ESCANER
6824,"El Progreso",4,"Guastatoya",1,738,400,18,139,14,121,1,3,296,12,3,311,0,311,--,400,89,296,311,311,Algún campo sin dato,1,cb15df9c20a243475803a439a650ca6f63255a870371a87afd5c79e7e96406c1,26/06/2023 02:22:56,ESCANER
6825,"El Progreso",4,"Guastatoya",1,738,400,17,114,3,114,1,1,250,6,1,257,0,257,--,400,143,250,257,257,Algún campo sin dato,1,25c3d65c0342a7a3103209a30848aa61a634112b7b99d18d19630e4bf7c96b46,26/06/2023 01:00:27,ESCANER
6826,"El Progreso",4,"Guastatoya",1,739,400,8,132,2,120,2,1,265,10,1,276,0,276,--,400,124,265,276,276,Algún campo sin dato,1,c9b4dc6af983995578344faab598c2273f5480c96f541b6491a47b595503996a,25/06/2023 23:51:50,ESCANER
6827,"El Progreso",4,"Guastatoya",1,739,400,17,145,7,109,1,2,281,3,1,285,0,285,--,400,115,281,285,285,Algún campo sin dato,1,9c85aba72a57f70a319dd1c0046971956f115782ecd913ae08d19c10665d8456,26/06/2023 01:01:19,ESCANER
6828,"El Progreso",4,"Guastatoya",1,739,400,10,121,9,134,1,0,275,5,0,280,0,280,--,404,124,275,280,280,Algún campo sin dato,1,95d512cbd6d35e2b63b2c5f72ab7a48cfca882c602d66166efecad3eef76b1b2,26/06/2023 01:10:33,ESCANER
6829,"El Progreso",4,"Guastatoya",1,739,400,15,147,7,148,0,1,318,3,0,321,0,321,--,400,79,318,321,321,Algún campo sin dato,1,e995949a62af3f0a3dce3dd5023061289ab0ff4d122fd2a356e199eb4b70bb29,26/06/2023 00:40:29,ESCANER
6830,"El Progreso",4,"Guastatoya",1,739,400,10,116,4,112,1,2,245,5,0,250,0,250,--,404,154,245,250,250,Algún campo sin dato,1,5b286e03791d1226f155d0d9c6be3e414ddcaa0025ee5c899dff583a7381215f,25/06/2023 23:11:09,ESCANER
