TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
26,26,100.0000,26,100.0000,0,9991,6123,61.2851

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,UNE,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6871,"El Progreso",4,"Morazán",2,749,400,115,100,2,0,217,6,5,228,0,228,--,400,172,217,228,228,Algún campo sin dato,1,79ec4f14b7be3e2ef5bee7b8784fbda5be2d4d5e08c90742fcba298ede4996c5,25/06/2023 23:13:17,ESCANER
6872,"El Progreso",4,"Morazán",2,749,400,105,107,3,9,224,6,4,234,1,235,--,399,164,224,234,235,Algún campo sin dato,1,638c7084c9ee928e576c443853feba786c5c7637ac243b83a1a9765dd137a96d,25/06/2023 23:20:12,ESCANER
6873,"El Progreso",4,"Morazán",2,749,400,124,82,6,8,251,22,9,251,0,251,--,400,149,220,251,251,Sumas Asentadas sin cuadrar,1,dfcea360afaa9cb31c9d8c89e79ede984b0ad4f738fe2f40c295234624b1c2a2,26/06/2023 00:24:12,ESCANER
6874,"El Progreso",4,"Morazán",2,749,400,141,90,10,6,247,23,9,279,0,279,--,398,119,247,279,279,Algún campo sin dato,1,fffa0fee046ee65b3923a959a49831235d86e31c24d3d27f88d4c36f091aaca1,26/06/2023 01:10:59,ESCANER
6875,"El Progreso",4,"Morazán",2,749,400,160,93,5,6,264,23,2,289,0,289,--,--,--,264,289,289,Algún campo sin dato,1,9c431fa0ab2abab6b7e2c0e23dce961102ee8b4dee24c9b5ab60633b40c44197,26/06/2023 00:22:29,ESCANER
6876,"El Progreso",4,"Morazán",2,749,400,170,114,3,0,287,13,3,303,0,303,--,400,97,287,303,303,Algún campo sin dato,1,936865cbefed401918faa97c59e1ab84b2ab52df11fb7c830e65454aca054403,26/06/2023 00:25:24,ESCANER
6877,"El Progreso",4,"Morazán",2,750,400,149,145,12,4,310,10,1,321,0,321,--,400,79,310,321,321,Algún campo sin dato,1,45381d41d83480640a0d791423dfd7a0404232d0adcf34c4ec19d8f0fa827a9a,25/06/2023 23:56:41,ESCANER
6878,"El Progreso",4,"Morazán",2,750,400,175,136,12,2,325,6,1,332,0,332,--,400,68,325,332,332,Algún campo sin dato,1,a6c43047dcd363a32a19ca35ad8f4d54948b7499c269c58ba3c8ff4277649e5f,25/06/2023 23:56:31,ESCANER
6879,"El Progreso",4,"Morazán",2,750,400,133,108,7,2,250,10,1,261,0,261,--,400,139,250,261,261,Algún campo sin dato,1,a7c122e81aac6a854832c416783a8734e1b8436ce67ad8637078c5dc7b509cbf,25/06/2023 23:57:00,ESCANER
6880,"El Progreso",4,"Morazán",2,750,400,111,92,1,3,207,3,0,210,0,210,--,400,190,207,210,210,Algún campo sin dato,1,fa623f5720f89a7984cf17aaa0b6c4418f47377d26c04fc46904561700def8e8,25/06/2023 22:09:42,ESCANER
6881,"El Progreso",4,"Morazán",2,750,400,118,86,3,1,208,10,0,218,0,218,--,400,182,208,218,218,Algún campo sin dato,1,081454706f2edb32ddb3d7501d6be7910110e721342280b0aae03a33ad9a69c9,25/06/2023 22:20:59,ESCANER
6882,"El Progreso",4,"Morazán",2,750,400,107,94,2,1,204,7,0,211,0,211,--,400,189,204,211,211,Algún campo sin dato,1,6605174c823a944beafd1f3f3e53ed240f98a92721a9e9f14759fe8d39f15847,25/06/2023 23:21:50,ESCANER
6883,"El Progreso",4,"Morazán",2,751,400,126,113,1,1,241,3,0,244,0,244,--,400,156,241,244,244,Algún campo sin dato,1,21b83f76bd4c2db1a1544ca51e70ae25619ca4dbae4bbf120018475e82f95c43,25/06/2023 23:09:27,ESCANER
6884,"El Progreso",4,"Morazán",2,751,400,127,97,3,3,230,4,1,235,0,235,1,400,164,230,235,235,,1,c44d8c1f3dd2084435cc1b884560a02e88db4fe8894fc4e638ede54b27020417,25/06/2023 23:55:28,ESCANER
6885,"El Progreso",4,"Morazán",2,751,337,112,68,0,1,181,3,0,184,0,184,--,337,153,181,184,184,Algún campo sin dato,1,ce2a0934251181afcaac4e6fa3f63e336fc031a96f6f2bad47faa46d85ae5bf6,25/06/2023 21:27:04,ESCANER
6886,"El Progreso",4,"Morazán",2,751,337,78,74,4,3,159,3,0,162,0,162,--,334,172,159,162,162,Algún campo sin dato,1,91015ee96cc3e83bafce3b7d3908a293bcb268f38916c40b11017ee1a4254c1a,25/06/2023 23:24:12,ESCANER
6887,"El Progreso",4,"Morazán",2,752,380,119,94,3,4,220,19,1,240,0,240,--,377,137,220,240,240,Algún campo sin dato,1,f29143eaab98a31e58d899e4c02b55cdaba2ce3c0c3ff35e0888edd1b048ef61,26/06/2023 00:09:05,ESCANER
6888,"El Progreso",4,"Morazán",2,752,380,147,89,3,5,244,19,9,272,1,273,1,380,107,244,272,273,,1,ec91c17f3c7f35e60bb416067fc58d34834a8a85375d88b930dbc0378acea761,26/06/2023 03:31:57,ESCANER
6889,"El Progreso",4,"Morazán",2,752,380,127,111,6,4,248,16,8,272,0,272,--,380,108,248,272,272,Algún campo sin dato,1,e419ec21d7d58bade8603977cae08fba9ef9b04e35371f04d17270dc39850fd0,25/06/2023 23:29:25,ESCANER
6890,"El Progreso",4,"Morazán",2,752,380,161,113,6,2,282,9,9,300,0,300,--,380,80,282,300,300,Algún campo sin dato,1,479015bb4cccb994e2a834a4c3135d9074a29628f92595f94f291784a300222a,26/06/2023 00:05:07,ESCANER
6891,"El Progreso",4,"Morazán",2,752,380,151,83,4,1,239,10,4,253,0,253,--,380,127,239,253,253,Algún campo sin dato,1,f3fe7522b56e9d8b9d6709135ab18fd1d029ca80b6edc8c77174e79b82dc7a55,25/06/2023 23:57:34,ESCANER
6892,"El Progreso",4,"Morazán",2,752,380,119,85,2,2,208,11,4,223,0,223,--,380,157,208,223,223,Algún campo sin dato,1,3b953f59be17af5240b134228a62008101e35bc8a1e664c6d6fd8e430342323b,25/06/2023 21:42:17,ESCANER
6893,"El Progreso",4,"Morazán",2,752,376,149,101,5,0,255,4,0,259,0,259,--,376,117,255,259,259,Algún campo sin dato,1,cee1f2a50f41e280ae59a6d837060105d0372bacf5028994cb6d8430cdf49b9a,25/06/2023 23:37:08,ESCANER
6894,"El Progreso",4,"Morazán",2,752,375,123,96,3,2,224,7,1,232,0,232,--,376,143,224,232,232,Algún campo sin dato,1,f5e12849e662f4451e6f35dfa2b09a879dca527df9f7cbeb169fc933512977f7,25/06/2023 23:58:44,ESCANER
6895,"El Progreso",4,"Morazán",2,753,343,47,25,1,5,78,3,0,81,0,81,--,--,--,78,81,81,Algún campo sin dato,1,0c8a5f88b41b49faf49336d434205b933bc99c9fb2e01e9b36c2711ea91a3bfe,25/06/2023 21:39:25,ESCANER
6896,"El Progreso",4,"Morazán",2,753,343,16,11,1,0,28,1,0,29,0,29,--,340,311,28,29,29,Algún campo sin dato,1,ccbdda1c68ba6b69458ea16cf7eec1dc2397648bd4a5026478de93f52d576b41,25/06/2023 21:18:56,ESCANER
