TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
73,73,100.0000,72,98.6301,1,26289,16750,63.7148

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,CAMBIO,MORENA,VAMOS,PIN,RENOVADOR,VALOR,AZUL,UNE,FCN-NACION,PODEMOS,UC,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6897,"El Progreso",4,"San Agustín Acasaguastlán",3,754,400,3,9,7,36,4,128,81,1,3,1,2,2,277,14,5,296,0,296,--,400,104,277,296,296,Algún campo sin dato,1,d3efeae7e09d27c1447b90de9f13139fb83f9d1125a2325430c389e761be47fa,26/06/2023 00:37:02,ESCANER
6898,"El Progreso",4,"San Agustín Acasaguastlán",3,754,400,5,7,11,34,4,133,86,1,4,1,2,0,288,16,2,306,0,306,--,--,--,288,306,306,Algún campo sin dato,1,e80fdfa6e81144116a9363de3b2d53582c108845b1db2facd617395e00b3cc9c,26/06/2023 01:52:21,ESCANER
6899,"El Progreso",4,"San Agustín Acasaguastlán",3,754,400,4,5,9,37,3,116,82,4,8,0,4,0,272,16,4,292,0,292,--,400,108,272,292,292,Algún campo sin dato,1,293369fa7cba93141f42cc3769f43e9b21a21311803311a11206aa42cc816ae3,26/06/2023 03:03:11,ESCANER
6900,"El Progreso",4,"San Agustín Acasaguastlán",3,754,400,2,14,3,24,0,139,96,1,8,1,7,0,295,15,3,313,0,313,--,380,67,295,313,313,Algún campo sin dato,1,a22cc273fc25f238683922ba2cade75afb3f495555ccdee73b5b86fa8c15546d,26/06/2023 02:37:25,ESCANER
6901,"El Progreso",4,"San Agustín Acasaguastlán",3,754,400,1,4,3,29,0,156,78,0,7,1,3,0,282,11,2,295,0,295,--,400,105,282,295,295,Algún campo sin dato,1,01c5c91a0a9610680d1c6b5e5b65fba2341cccba4fd1389fd8b96a88a605c148,26/06/2023 00:31:43,ESCANER
6902,"El Progreso",4,"San Agustín Acasaguastlán",3,754,400,1,7,4,32,1,136,70,0,3,0,3,0,257,7,1,265,0,265,--,380,115,257,265,265,Algún campo sin dato,1,b9e61e417fb9cc4008d5989740c86992bb8d3df389f029e618add56340585493,26/06/2023 01:14:35,ESCANER
6903,"El Progreso",4,"San Agustín Acasaguastlán",3,754,400,1,9,6,31,2,127,73,1,5,1,5,0,261,6,1,268,0,268,--,400,132,261,268,268,Algún campo sin dato,1,fe24ec488762edcf0e6e30ac3323f8dcaf8a900b1f66270466c2f9ada1466a0e,26/06/2023 01:39:32,ESCANER
6904,"El Progreso",4,"San Agustín Acasaguastlán",3,754,400,1,6,8,32,3,140,87,2,4,1,3,0,287,5,1,293,0,293,--,380,87,287,293,293,Algún campo sin dato,1,700ca3a12e768d1ef7e0b86f533457d7fffe05f028fe92fa6a3d0a7175ae53a6,26/06/2023 01:43:53,ESCANER
6905,"El Progreso",4,"San Agustín Acasaguastlán",3,754,400,4,9,3,43,6,113,71,1,5,0,5,0,260,18,3,281,0,281,--,400,119,260,281,281,Algún campo sin dato,1,cc4945025aa1901141d45d48a5a47fa7d943a5e11bb7e654bf41428376f25da5,25/06/2023 23:42:16,ESCANER
6906,"El Progreso",4,"San Agustín Acasaguastlán",3,754,400,1,10,5,34,2,122,95,3,3,0,6,1,282,9,0,291,0,291,--,400,109,282,291,291,Algún campo sin dato,1,e529e3b7ff6ef825b5b7f72fa05d82d9dca50244645eeed7c86d4f703bfcff0c,26/06/2023 00:48:44,ESCANER
