TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
17,17,100.0000,17,100.0000,0,5932,4061,68.4592

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,PODEMOS,CABAL,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6970,"El Progreso",4,"San Cristóbal Acasaguastlán",4,763,400,90,2,123,43,2,260,12,1,273,0,273,--,400,127,260,273,273,Algún campo sin dato,1,a1eee02b5f4bcfe2512fd81eefb19184f401e833223acc425722f59b7c99a4b1,26/06/2023 00:46:31,ESCANER
6971,"El Progreso",4,"San Cristóbal Acasaguastlán",4,763,400,103,8,118,57,1,287,14,1,302,--,302,--,400,98,287,302,302,Algún campo sin dato,1,6f733cc2482124a98dc6aea74ec03c5279d8cb96b94bf7381a32fb8ed383431e,25/06/2023 23:19:14,ESCANER
6972,"El Progreso",4,"San Cristóbal Acasaguastlán",4,763,400,71,2,154,54,5,286,10,3,299,0,299,--,401,102,286,299,299,Algún campo sin dato,1,a4801d8f43c9c8c1cde49a9aa56efe241e7da5124ee8867659983af50f0bf077,26/06/2023 00:34:12,ESCANER
6973,"El Progreso",4,"San Cristóbal Acasaguastlán",4,763,400,63,2,158,32,3,258,7,2,267,0,267,--,400,133,258,267,267,Algún campo sin dato,1,a4e2d21dd283da9b8a3c58888ddff3e93f8e8d11516d8f03d79a1f47631b9c58,26/06/2023 01:41:16,ESCANER
6974,"El Progreso",4,"San Cristóbal Acasaguastlán",4,763,400,71,4,136,47,6,264,10,0,274,0,274,--,400,126,264,274,274,Algún campo sin dato,1,4d0ae0637b610ce30d4b6b4eaca0b16590168c698a44af09086845366ec2f260,26/06/2023 00:09:44,ESCANER
6975,"El Progreso",4,"San Cristóbal Acasaguastlán",4,763,223,47,3,83,20,4,157,3,1,161,0,161,--,223,62,157,161,161,Algún campo sin dato,1,0a4713712d5d19cc9287e08f1ecfb935306c9f0323683beefe435b8a797cab19,25/06/2023 22:36:21,ESCANER
6976,"El Progreso",4,"San Cristóbal Acasaguastlán",4,763,223,42,0,61,23,3,129,2,0,131,1,132,--,223,91,129,131,132,Algún campo sin dato,1,3186f293c5b098556098b874ddc10aeccf75e55ecccd46da22d43369631364b4,25/06/2023 22:27:59,ESCANER
6977,"El Progreso",4,"San Cristóbal Acasaguastlán",4,764,380,150,10,61,23,2,246,25,1,272,0,272,--,380,108,246,272,272,Algún campo sin dato,1,1db3c6328ea59ef69518bd99d1e0c7054194c8d56c9ce366b4c981e33155a409,26/06/2023 00:25:21,ESCANER
6978,"El Progreso",4,"San Cristóbal Acasaguastlán",4,764,380,170,5,76,19,2,272,16,7,295,0,295,--,380,85,272,295,295,Algún campo sin dato,1,31cffe9e94c9da53325f92004060d8454adb855112ebf8263f90a7949aa33fea,26/06/2023 00:11:18,ESCANER
6979,"El Progreso",4,"San Cristóbal Acasaguastlán",4,764,380,197,4,52,13,0,266,13,0,279,1,280,--,380,100,266,279,280,Algún campo sin dato,1,7ad7fbc79451ed5302317f4e9fc62e705f3b814be6287c0325837988469480fd,26/06/2023 01:42:52,ESCANER
