TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
26,26,100.0000,26,100.0000,0,9982,6323,63.3440

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,VAMOS,UNE,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6987,"El Progreso",4,"El Jícaro",5,767,400,53,155,16,11,235,24,3,262,0,262,--,397,138,235,262,262,Algún campo sin dato,1,70a434185e659d80de5f268fd0d82d60f7d41ef0e603bfc3c3071df4d8064a81,26/06/2023 00:43:55,ESCANER
6988,"El Progreso",4,"El Jícaro",5,767,400,56,153,13,11,233,20,3,256,0,256,--,400,144,233,256,256,Algún campo sin dato,1,e5f3b2223f8beddae5e50b12cafab9e7fdae4ef5498260983c4c2634731d26a3,25/06/2023 23:54:08,ESCANER
6989,"El Progreso",4,"El Jícaro",5,767,400,57,163,9,10,239,25,1,265,--,265,--,400,135,239,265,265,Algún campo sin dato,1,f0ad663f8647a2a9b00e6870c8defe86f18e23f88e94da313f9479033c56bb0f,26/06/2023 03:32:55,ESCANER
6990,"El Progreso",4,"El Jícaro",5,768,400,64,180,13,6,263,13,3,279,0,279,--,400,121,263,279,279,Algún campo sin dato,1,9fea392385ca0c3842bda4a83c31385444dfe53a2c48829c0d64b861522884e0,26/06/2023 01:02:17,ESCANER
6991,"El Progreso",4,"El Jícaro",5,768,400,59,155,23,16,253,19,5,277,0,277,--,400,123,253,277,277,Algún campo sin dato,1,9275ec1ebc58bda33530fbc15a1ba58dad19d668396e3fca7b08cc65faab60a0,26/06/2023 00:18:03,ESCANER
6992,"El Progreso",4,"El Jícaro",5,768,400,76,157,13,10,256,9,8,273,0,273,--,400,127,256,273,273,Algún campo sin dato,1,ed5a6b85f71043dec71e27843b3e05a845da39c01619472f87b8011f67921030,26/06/2023 01:50:15,ESCANER
6993,"El Progreso",4,"El Jícaro",5,768,400,65,194,20,10,289,11,5,305,0,305,--,400,95,289,305,305,Algún campo sin dato,1,88aba3afed610654181a3e2f99bfd409c2b1568f132ad455e5f6698d70caa87e,26/06/2023 01:35:12,ESCANER
6994,"El Progreso",4,"El Jícaro",5,768,400,72,161,12,8,253,16,5,274,0,274,--,400,126,253,274,274,Algún campo sin dato,1,60b9fea013fccedb752a32b45505161f6ea2f7a342d7e83fa13821d9f16431ab,26/06/2023 02:42:46,ESCANER
6995,"El Progreso",4,"El Jícaro",5,769,400,52,169,16,12,249,9,5,263,0,263,--,400,137,249,263,263,Algún campo sin dato,1,ed626e4b4cd3e92407e336b3060999392cb0e75a8804e10abbcae853789e1666,26/06/2023 01:56:11,ESCANER
6996,"El Progreso",4,"El Jícaro",5,769,400,60,166,15,8,249,4,3,256,0,256,--,400,144,249,256,256,Algún campo sin dato,1,29aef84a503c568d651caf6705224ecfa773089f58e9022beb3b8744e1f5209f,26/06/2023 01:11:29,ESCANER
