TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
27,27,100.0000,27,100.0000,0,10073,6905,68.5495

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,AZUL,TODOS,PODEMOS,MLP,CREO,BIEN,P A N,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7013,"El Progreso",4,"Sansare",6,775,400,55,65,4,1,24,3,6,7,0,59,35,259,13,1,273,0,273,--,400,127,259,273,273,Algún campo sin dato,1,3181003153c5024fd0f48c93e8227a7b4192e0169af8195d7a82e6cf064d54af,26/06/2023 00:22:33,ESCANER
7014,"El Progreso",4,"Sansare",6,775,400,69,55,1,3,18,2,8,6,1,47,70,280,7,2,289,0,289,--,400,111,280,289,289,Algún campo sin dato,1,781a9d6cc6da3659c687b3243eeca2a2cf551bad62c02685b80c57776627536e,26/06/2023 00:45:05,ESCANER
7015,"El Progreso",4,"Sansare",6,775,400,78,61,0,4,15,3,10,10,0,46,52,279,16,2,297,0,297,--,400,103,279,297,297,Algún campo sin dato,1,1b6df3e8f07c77366b2e6f578e616cb14f28b82a6b9a631bab5c46ad2b48982d,26/06/2023 00:57:35,ESCANER
7016,"El Progreso",4,"Sansare",6,775,400,62,73,1,4,18,4,2,8,2,65,50,289,5,1,295,11,306,--,--,--,289,295,306,Algún campo sin dato,1,8ea85a50255473c3ea2ee2aeab383756cf668afcf31d886256618e909fdd26f6,26/06/2023 00:35:23,ESCANER
7017,"El Progreso",4,"Sansare",6,775,400,65,79,0,3,29,3,2,8,1,58,46,294,10,1,305,0,305,--,400,95,294,305,305,Algún campo sin dato,1,b7edcdf9e308d48743ff40d8333e9f08e34953594d8ab8fa871dd97188b7c210,26/06/2023 00:18:20,ESCANER
7018,"El Progreso",4,"Sansare",6,775,400,80,56,1,3,35,0,3,3,0,63,37,281,10,2,293,0,293,--,--,--,281,293,293,Algún campo sin dato,1,465be6c9bf6bb860dd898f0918de86a0adefd31cb24a5d2fa7095b3df8c6541a,26/06/2023 01:05:04,ESCANER
7019,"El Progreso",4,"Sansare",6,775,400,50,94,1,4,20,4,3,4,1,45,83,312,9,1,322,0,322,--,400,78,309,319,319,Sumas Asentadas sin cuadrar,1,5d0321aa0623c187841ef9c78b25f7d13549cfb3fabf1504e908ad2581f253b8,26/06/2023 02:40:37,ESCANER
7020,"El Progreso",4,"Sansare",6,775,400,63,77,2,8,14,0,6,6,0,75,59,310,8,4,322,0,322,--,397,12,310,322,322,Algún campo sin dato,1,638e49755e703f3757a20b279f7cf18ce167035e31f1fd421560ba0e848f8e79,26/06/2023 00:43:22,ESCANER
7021,"El Progreso",4,"Sansare",6,775,400,91,68,4,5,15,2,4,9,0,57,49,304,18,0,322,0,322,--,400,78,304,322,322,Algún campo sin dato,1,c87a85baf5778c971edb81561879dd8f859d3ad69bae529e85fd4622ebc9971b,25/06/2023 23:12:01,ESCANER
7022,"El Progreso",4,"Sansare",6,775,400,61,68,2,2,18,4,6,6,2,46,65,280,2,2,284,0,284,--,420,136,280,284,284,Algún campo sin dato,1,da689ffb375c899cacad596aaf4eaaf767ee91a23cbb81d48ce8c629bb5a1dd0,25/06/2023 22:38:01,ESCANER
