TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
78,78,100.0000,78,100.0000,0,27716,18817,67.8921

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,BIEN,UNE,CABAL,MLP,VAMOS,P A N,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7040,"El Progreso",4,"Sanarate",7,780,400,3,6,49,113,0,109,1,0,3,284,9,2,295,0,295,--,400,105,284,295,295,Algún campo sin dato,1,ce851270f5155e9d5fe5b21a8e7ec9996ceefa747d3bf7ab20eb547b59959a1f,26/06/2023 02:10:11,ESCANER
7041,"El Progreso",4,"Sanarate",7,780,400,5,3,63,114,1,94,0,0,3,283,12,1,297,0,297,1,400,103,283,296,296,Sumas Asentadas sin cuadrar,1,1d320613ee63ab97c62f5567d690161da7a64b2811148e98f416d4e41b854954,26/06/2023 01:58:49,ESCANER
7042,"El Progreso",4,"Sanarate",7,780,400,5,4,68,104,1,106,0,0,4,292,7,3,303,0,303,1,400,97,292,302,302,Sumas Asentadas sin cuadrar,1,2b4125b5ba39e9968c07d29e7ec19bd2146873eeca991eae219ffe249dc40951,26/06/2023 02:17:44,ESCANER
7043,"El Progreso",4,"Sanarate",7,780,400,15,6,63,94,1,107,0,0,5,291,10,2,303,0,303,--,404,101,291,303,303,Algún campo sin dato,1,d509a1aaba122a275df49c58db4b843411ae4a8d839f60b053ebd4ab1f82edc9,26/06/2023 05:46:14,ESCANER
7044,"El Progreso",4,"Sanarate",7,780,400,9,3,65,120,0,111,1,0,3,312,6,6,324,0,324,--,400,76,312,324,324,Algún campo sin dato,1,395955753e634f558b78d022550e69d6871d1d96f5843a97c2f888dcb79743c4,26/06/2023 02:27:26,ESCANER
7045,"El Progreso",4,"Sanarate",7,780,400,8,3,66,109,0,104,0,1,7,298,3,2,303,0,303,--,400,97,298,303,303,Algún campo sin dato,1,07cda72ded620a66b9c6011afe0942b047906fd3f9280fd4d656a2e50e997f60,26/06/2023 02:21:24,ESCANER
7046,"El Progreso",4,"Sanarate",7,780,400,8,10,61,115,0,98,0,0,1,293,6,1,300,0,300,--,400,100,293,300,300,Algún campo sin dato,1,7885cb8b103b3f2c363a0affbae0ed9c500cbb601f77d6cd9ba7fb3d2f7f3444,26/06/2023 01:37:05,ESCANER
7047,"El Progreso",4,"Sanarate",7,780,400,12,4,75,118,2,87,0,1,10,309,5,1,315,0,315,--,397,82,309,315,315,Algún campo sin dato,1,70193c9c657674990728e662c88a4db13112b7752d8af60ab42d0ea58593bb95,26/06/2023 01:35:11,ESCANER
7048,"El Progreso",4,"Sanarate",7,780,400,4,3,60,102,0,93,0,0,1,263,3,0,266,0,266,--,400,134,263,266,266,Algún campo sin dato,1,6c0c84dadeca673ca1d8fb53b2cf8fdbcc083324406bb7c24cb2c69be1dd9fb7,26/06/2023 01:04:16,ESCANER
7049,"El Progreso",4,"Sanarate",7,780,400,6,5,58,95,2,107,0,0,2,275,2,1,278,0,278,--,400,122,275,278,278,Algún campo sin dato,1,4d62fddf12a4bda48e6c47100832ab42d4d0a9009a1afc01c62993053dc90cfb,26/06/2023 01:31:04,ESCANER
