TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,13983,8331,59.5794

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,ESDELCA,UNE,CABAL,VALOR UNIONISTA,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7118,"El Progreso",4,"San Antonio La Paz",8,796,400,58,37,9,62,35,9,210,16,5,231,0,231,--,400,169,210,231,231,Algún campo sin dato,1,dba5f6e60524041a704ba45ee5d17310aa57a42b3dc86936a5393479bd337946,25/06/2023 23:23:42,ESCANER
7119,"El Progreso",4,"San Antonio La Paz",8,796,400,54,34,3,91,25,18,225,28,6,259,0,259,--,400,141,225,259,259,Algún campo sin dato,1,42dd21babdb0fbba0702114efa29cb68a0bfb9d811114e1cbe33db00edb1409d,26/06/2023 01:17:39,ESCANER
7120,"El Progreso",4,"San Antonio La Paz",8,796,400,52,38,9,87,26,6,218,19,3,240,0,240,--,400,160,218,240,240,Algún campo sin dato,1,5c85b12b6730f83b1789ead334e9abd49be96d8cb8972b3f5ecf5bbeabc7b116,26/06/2023 01:09:23,ESCANER
7121,"El Progreso",4,"San Antonio La Paz",8,796,400,50,31,5,88,28,9,211,25,7,243,0,243,1,400,156,211,243,243,,1,78c2b36efb55e1603a464c806fc3b970ca3224582dad51e235cf451901e5a82f,25/06/2023 23:07:27,ESCANER
7122,"El Progreso",4,"San Antonio La Paz",8,796,400,70,29,9,96,19,8,231,24,1,256,0,256,--,400,144,231,256,256,Algún campo sin dato,1,c41fe80a4588c9c0df38ba58734b6cb8e9d109751b83589a8d61bf091164ace1,25/06/2023 22:54:57,ESCANER
7123,"El Progreso",4,"San Antonio La Paz",8,796,400,113,20,8,63,25,8,237,20,4,261,0,261,--,400,139,237,261,261,Algún campo sin dato,1,0a7b8a92d7fc827887eb7e62004306faf1c485c56d7a52c24d10a4098553cff8,25/06/2023 22:48:58,ESCANER
7124,"El Progreso",4,"San Antonio La Paz",8,796,400,102,42,3,85,24,22,278,11,7,296,1,297,--,400,103,278,296,297,Algún campo sin dato,1,97c75c08a438b6dc56493ad9fd18dabe7195ab9d3857c6b0ddb3bf70ff4cbb66,26/06/2023 01:26:44,ESCANER
7125,"El Progreso",4,"San Antonio La Paz",8,796,400,76,35,5,75,19,7,217,3,0,220,0,220,--,400,180,217,220,220,Algún campo sin dato,1,fd2d4d04f0ec7f131440d932a68f634f88901e1ac94541ad7a95716de027b132,25/06/2023 23:46:10,ESCANER
7126,"El Progreso",4,"San Antonio La Paz",8,796,400,69,30,3,64,22,9,197,9,2,208,0,208,--,400,192,197,208,208,Algún campo sin dato,1,0ea90d6be1cfd0ed5497a7e30f9b9877309e7df0cec0986f63dca4cf8c7b0adf,26/06/2023 00:18:30,ESCANER
7127,"El Progreso",4,"San Antonio La Paz",8,796,400,61,28,6,82,21,15,213,12,4,229,0,229,--,400,171,213,229,229,Algún campo sin dato,1,25943376c37f92e3e438e67e2a061b7f4bbe67673961e659a30d292d3e11c9f2,26/06/2023 01:28:57,ESCANER
7128,"El Progreso",4,"San Antonio La Paz",8,796,400,79,28,8,61,26,6,208,13,5,226,0,226,--,400,174,208,226,226,Algún campo sin dato,1,6674ae1fdae3497e7c70cbc28885f25b3a2a324f473aa6c7077d4da16738d7d1,25/06/2023 23:16:45,ESCANER
7129,"El Progreso",4,"San Antonio La Paz",8,796,400,68,30,10,61,25,10,204,10,4,218,0,218,--,399,181,204,218,218,Algún campo sin dato,1,bb03c2a46c6fb5218a2c284af5c113aa2c63af51213bc9c02e5f6b8fbc7d22f7,26/06/2023 01:11:15,ESCANER
7130,"El Progreso",4,"San Antonio La Paz",8,796,400,64,29,4,72,24,10,203,6,2,211,0,211,--,400,189,203,211,211,Algún campo sin dato,1,320dbf202a00212e5d80895191c2f430c3113dbd01702c731b19e6a23a36b454,26/06/2023 02:00:45,ESCANER
7131,"El Progreso",4,"San Antonio La Paz",8,796,400,86,53,5,66,26,14,250,4,0,254,0,254,--,400,146,250,254,254,Algún campo sin dato,1,304bbad0790eced50adc61181dc5fa66a480bbf037050e38e2be17c86a9cf0eb,26/06/2023 02:19:46,ESCANER
7132,"El Progreso",4,"San Antonio La Paz",8,796,400,78,40,2,77,25,5,227,2,0,229,0,229,--,400,171,227,229,229,Algún campo sin dato,1,0629fcca0caa02e3600a44ffda7d6d5c62fff27b9c8d76b497d92def43f87ff5,26/06/2023 00:04:30,ESCANER
7133,"El Progreso",4,"San Antonio La Paz",8,796,242,36,21,3,35,11,2,108,4,1,113,0,113,--,242,129,108,113,113,Algún campo sin dato,1,eb354a863f3a91c2401653cd94a0921a29b64d0d00bc3bd393f654d416f37c25,25/06/2023 22:41:52,ESCANER
7134,"El Progreso",4,"San Antonio La Paz",8,796,241,32,16,6,31,10,8,103,1,1,105,0,105,--,241,136,103,105,105,Algún campo sin dato,1,502923d5228d063b40dc7a3651fe4a407a20ad394e96adb2a689268174537962,25/06/2023 21:46:39,ESCANER
7135,"El Progreso",4,"San Antonio La Paz",8,797,380,57,37,34,58,15,17,218,18,5,241,0,241,0,379,138,218,241,241,,1,b55c9de4231968d17d19965919572d7840662d422309aa02ba242d272950b86e,26/06/2023 00:40:55,ESCANER
7136,"El Progreso",4,"San Antonio La Paz",8,797,380,73,34,44,57,13,22,243,10,6,259,0,259,0,380,121,243,259,259,,1,4147b4ba1e3908b6221a4e7fd9f9556bb7d8b7c90cda1a4c7213c9beeba1244c,26/06/2023 01:43:42,ESCANER
7137,"El Progreso",4,"San Antonio La Paz",8,797,380,66,48,30,48,6,20,218,15,1,234,0,234,0,380,146,218,234,234,,1,7b3da8af6bbfe176454f7f532fc55a1ce1cbab3e348715636672b2062185059b,26/06/2023 01:13:49,ESCANER
7138,"El Progreso",4,"San Antonio La Paz",8,797,380,61,44,29,43,10,20,207,6,2,215,0,215,1,380,164,207,215,215,,1,85ba6836b2cdb6e10ce4a3396da08927a85b9f078d055b3545d64838990c923b,26/06/2023 01:28:03,ESCANER
7139,"El Progreso",4,"San Antonio La Paz",8,797,380,59,32,39,39,14,20,203,12,5,220,0,220,0,377,157,203,220,220,,1,990588389661ece6f1c2facce242ed76f158ae7c3859fa26b5b1670b6b95b13b,26/06/2023 02:20:51,ESCANER
7140,"El Progreso",4,"San Antonio La Paz",8,797,380,58,27,36,42,13,19,195,12,2,209,0,209,--,380,171,195,209,209,Algún campo sin dato,1,25ab1407494525e4ed75bbc8bef3c00d18e7d626a6b444d2bd62db16f4d9af99,25/06/2023 23:11:05,ESCANER
7141,"El Progreso",4,"San Antonio La Paz",8,797,380,71,27,47,40,5,17,207,16,3,226,0,226,0,380,154,207,226,226,,1,97615ae5b23e5352cb3d66f220028defc5cd1e54e5c0263544201fa9eefa45ad,26/06/2023 01:36:21,ESCANER
