TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
346,346,100.0000,346,100.0000,0,126904,83034,65.4305

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,VALOR,TODOS,UNE,PODEMOS,PIN,VAMOS,MLP,P A N,PHG,BIEN,URNG-MAIZ WINAQ,CREO,MI FAMILIA,FCN-NACION,CAMBIO,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6810,"El Progreso",4,"Guastatoya",1,737,400,9,27,77,6,6,30,1,69,0,1,0,9,7,5,3,0,2,0,252,16,10,278,0,278,--,399,121,252,278,278,Algún campo sin dato,1,67c63e5bae38e8f94826caa6e6ea42216fcddaf6eb85358d778456682171cabb,26/06/2023 02:19:45,ESCANER
6811,"El Progreso",4,"Guastatoya",1,737,400,10,23,68,6,10,37,0,67,2,2,0,4,3,5,2,0,1,2,242,45,8,295,0,295,1,400,105,242,295,295,,1,dccd6954258adeb321a91f8d45ecf7f6a97c59075bece92df1d220bf99ee5348,26/06/2023 02:31:04,ESCANER
6812,"El Progreso",4,"Guastatoya",1,737,400,8,30,64,6,12,0,1,93,0,0,1,6,1,8,21,1,0,1,253,20,24,297,0,297,--,400,103,253,297,297,Algún campo sin dato,1,3c3f71fb3d6a46284f2d7c785474474afe8986a76904ed0db50a94aa13167367,26/06/2023 01:37:58,ESCANER
6813,"El Progreso",4,"Guastatoya",1,737,400,7,30,74,7,4,39,0,73,1,0,1,7,2,5,2,0,1,0,253,35,6,294,0,294,--,400,106,253,294,294,Algún campo sin dato,1,7d4c78ced592e7aa1cf29f108bc55ddde6fd8fea5bfe9dea82a098bd5aa50820,26/06/2023 01:46:21,ESCANER
6814,"El Progreso",4,"Guastatoya",1,737,400,15,23,64,2,10,49,1,76,0,1,2,7,2,2,4,1,0,0,259,40,11,310,0,310,--,399,89,259,310,310,Algún campo sin dato,1,ae8be8444930a144584c28e6cd69e3a2db399733b84206244a904ba6f678b068,25/06/2023 23:43:21,ESCANER
6815,"El Progreso",4,"Guastatoya",1,737,400,8,24,66,4,8,44,0,75,1,2,0,6,4,5,3,0,1,0,251,41,13,305,0,305,--,404,99,251,305,305,Algún campo sin dato,1,85f0ed751381593220735fc0c4231c402ccb659e9932e953f068eb578e914a41,26/06/2023 01:54:41,ESCANER
6816,"El Progreso",4,"Guastatoya",1,737,400,11,27,78,6,12,45,0,76,0,1,0,3,4,1,2,1,1,1,269,37,5,311,0,311,--,396,85,269,311,311,Algún campo sin dato,1,f83585d490814a3603e84a7c08f6a1f1b267dc11e01f90d4c1ecf76fbd12cb33,25/06/2023 23:01:27,ESCANER
6817,"El Progreso",4,"Guastatoya",1,737,400,10,29,77,5,3,38,0,69,1,0,0,2,2,4,3,0,1,1,245,15,7,267,0,267,--,400,133,245,267,267,Algún campo sin dato,1,dc69f141f45baf32b91f31c11802e4e9e409c0633c017712e60f0cef3eb4935b,26/06/2023 00:31:44,ESCANER
6818,"El Progreso",4,"Guastatoya",1,737,400,11,27,69,3,3,27,0,82,1,1,0,8,1,8,2,0,1,1,245,21,5,271,0,271,--,400,129,245,271,271,Algún campo sin dato,1,7fb29dcbc355e5acef07fe4731827536e76b366df33edd7cee99340a90142a9a,25/06/2023 23:31:40,ESCANER
6819,"El Progreso",4,"Guastatoya",1,737,400,9,22,66,4,4,44,0,62,0,0,0,5,5,5,1,1,1,0,229,43,9,281,0,281,--,400,119,229,281,281,Algún campo sin dato,1,062acdcb7d3564613110645a58c7e0484e609c0277d5a543be2a18b4e5c93025,26/06/2023 02:08:48,ESCANER
6820,"El Progreso",4,"Guastatoya",1,738,400,7,26,79,7,8,41,0,52,1,1,0,4,7,6,2,1,0,1,243,29,9,281,0,281,--,403,122,243,281,281,Algún campo sin dato,1,4c1733127d7c75d70cc795cd65e59dd38617553ee16b627c6ecc2c5dcb292819,26/06/2023 03:13:24,ESCANER
6821,"El Progreso",4,"Guastatoya",1,738,400,8,25,61,7,6,47,0,45,3,1,0,9,3,6,4,1,0,1,227,33,12,272,0,272,--,400,128,227,272,272,Algún campo sin dato,1,41008c127aaea4c98da054a3218cf22128a5022e9fc31f1978fed7f153637c6d,26/06/2023 01:20:10,ESCANER
6822,"El Progreso",4,"Guastatoya",1,738,400,9,30,70,4,2,47,1,63,2,1,1,7,8,9,1,1,1,1,258,38,8,304,0,304,--,398,96,258,304,304,Algún campo sin dato,1,becf79dab99b977f07f62b391d010f327c28cb14f7cc648bd9e2dd405ca19d21,26/06/2023 03:04:13,ESCANER
6823,"El Progreso",4,"Guastatoya",1,738,400,9,35,66,6,3,21,0,77,1,0,1,7,1,6,1,1,0,0,235,13,6,0,0,254,--,403,149,235,254,254,Algún campo sin dato,1,998e9e86c3078d002b78bdc3f5b81e6ce903ed726c0ea77d06c2b8dc6ca097a1,26/06/2023 01:49:32,ESCANER
6824,"El Progreso",4,"Guastatoya",1,738,400,13,34,68,10,9,39,0,81,0,1,0,3,1,3,2,0,1,0,265,36,10,311,0,311,--,400,89,265,311,311,Algún campo sin dato,1,b334f70cffaa94420c64c33c9534cf2b3eeba682c519ea9232992637fc1e289f,26/06/2023 02:22:09,ESCANER
6825,"El Progreso",4,"Guastatoya",1,738,400,6,32,72,0,7,30,0,58,0,0,1,4,4,7,2,1,1,2,227,25,5,257,0,257,--,400,143,227,257,257,Algún campo sin dato,1,67de3fc0d4086024abf911d1d462551493bf1e8c588830e3128ffa223a5438f3,26/06/2023 01:00:28,ESCANER
6826,"El Progreso",4,"Guastatoya",1,739,400,13,27,73,10,2,41,0,66,2,0,0,2,3,9,0,0,0,3,251,19,6,276,0,276,--,400,124,251,276,276,Algún campo sin dato,1,b4d020d3b6c05f701f1afaca63cbb5c4f307165dc0178d4d18069d3deccf61eb,25/06/2023 23:51:31,ESCANER
6827,"El Progreso",4,"Guastatoya",1,739,400,15,36,82,1,5,26,0,68,2,1,0,8,5,3,3,0,0,1,256,27,2,285,0,285,--,400,115,256,285,285,Algún campo sin dato,1,d06a0049e62d671c1eef846920a40f6749c7219f3ce300d7cc313a65ef58f33e,26/06/2023 00:59:30,ESCANER
6828,"El Progreso",4,"Guastatoya",1,739,400,6,26,71,5,12,40,0,76,5,0,0,3,7,6,2,1,3,1,264,16,0,280,0,280,--,400,120,264,280,280,Algún campo sin dato,1,2d5420709a2dc1b0857601e1beed389119ebf49010ba6bf2a1843e2cf5516d6f,26/06/2023 01:08:21,ESCANER
6829,"El Progreso",4,"Guastatoya",1,739,400,14,43,82,4,2,53,1,77,1,0,0,9,2,12,1,0,0,0,301,20,0,321,0,321,--,400,79,301,321,321,Algún campo sin dato,1,e5d9aa3d594e1ac5976dc0f4fb03c893e53967d07db9f09c70363afbc8b4ed89,26/06/2023 00:37:31,ESCANER
6830,"El Progreso",4,"Guastatoya",1,739,400,10,28,54,6,5,29,0,62,3,2,0,3,6,2,0,0,0,0,210,26,14,250,0,--,--,400,150,210,250,250,Algún campo sin dato,1,812f3f9d5812ec033bb92c28bb87588d0ff9fe9f694071a99d616276092d9400,25/06/2023 22:34:35,ESCANER
6831,"El Progreso",4,"Guastatoya",1,739,215,1,20,35,2,6,14,0,29,0,0,0,7,4,2,2,1,0,0,123,6,3,132,0,132,--,215,83,123,132,132,Algún campo sin dato,1,4eba5a0f991b9251998cc9882e09ffdb1eea1fa6e872af841aed02b35c6927a4,25/06/2023 22:00:22,ESCANER
6832,"El Progreso",4,"Guastatoya",1,739,215,4,13,35,1,1,10,1,30,1,0,1,0,1,2,0,0,1,2,103,12,2,117,0,117,--,215,98,103,117,117,Algún campo sin dato,1,ed9107f6cb9660c1afc4479b4facee14adb5a67552d7f0020a89e935a6f6b415,25/06/2023 22:05:46,ESCANER
6833,"El Progreso",4,"Guastatoya",1,740,400,5,52,72,3,6,25,1,62,0,1,0,6,2,4,2,0,1,1,243,33,15,291,0,291,--,400,109,243,291,291,Algún campo sin dato,1,8b654feef2b819bb2501acecdace232c9d5231a79b0dd4a75e12a059000ccd5e,25/06/2023 23:33:22,ESCANER
6834,"El Progreso",4,"Guastatoya",1,740,359,8,46,62,3,5,18,0,56,0,0,0,2,0,0,0,0,1,0,201,22,12,235,0,235,--,359,124,201,235,235,Algún campo sin dato,1,22bdc322df54c83c05684760d460e05670a66171cd7ff66ed3137ca597dc968b,26/06/2023 01:12:12,ESCANER
6835,"El Progreso",4,"Guastatoya",1,740,358,3,40,70,3,8,29,0,44,1,0,0,4,0,2,2,0,2,1,209,27,5,241,0,241,--,357,116,209,241,241,Algún campo sin dato,1,93a46c34783ae28a09c211b78ebae07070408e8cc81fbca51ad5f910c4a3994e,26/06/2023 00:04:49,ESCANER
6836,"El Progreso",4,"Guastatoya",1,741,400,7,11,70,1,15,16,0,56,0,1,2,3,0,2,2,2,2,1,191,49,26,266,0,266,--,400,134,191,266,266,Algún campo sin dato,1,14122809f737697c4d00aece1e8544a11fb61c7d5c3e31609548584de5909308,26/06/2023 00:42:10,ESCANER
6837,"El Progreso",4,"Guastatoya",1,741,287,4,5,53,1,5,13,1,18,0,0,1,0,0,1,1,0,2,0,105,15,12,132,0,132,0,287,155,105,132,132,,1,7a396252fd0af1783524ba176306ff7906f2de1800ab9f7de6610a6e513e8f03,26/06/2023 00:18:56,ESCANER
6838,"El Progreso",4,"Guastatoya",1,741,287,1,3,41,1,6,18,1,41,0,0,1,0,0,3,0,0,4,1,121,19,5,145,0,145,--,287,142,121,145,145,Algún campo sin dato,1,3284c74de837f60cb9c6ed4a07dd46a3296483c5b57fddd0351b5ef11c6840d1,25/06/2023 22:31:07,ESCANER
6839,"El Progreso",4,"Guastatoya",1,742,400,4,6,101,3,10,7,0,97,0,1,0,9,3,3,0,1,0,0,245,37,29,311,0,311,--,400,89,245,311,311,Algún campo sin dato,1,fd93ce5d7715440001438cf58921e020ae75071f4503e398a2afde64a1ab9943,26/06/2023 02:00:42,ESCANER
6840,"El Progreso",4,"Guastatoya",1,742,400,4,16,127,2,8,22,0,80,1,3,0,7,1,2,0,1,0,0,274,28,16,318,0,318,--,407,89,274,318,318,Algún campo sin dato,1,108e59efb3b3a01006ac4f98efa206238ca15850fdce41e44495d8a663b902e7,26/06/2023 01:23:57,ESCANER
6841,"El Progreso",4,"Guastatoya",1,742,210,3,9,64,5,1,10,1,46,1,0,0,1,1,1,0,0,0,0,143,13,6,162,0,162,--,210,48,143,162,162,Algún campo sin dato,1,e1a2306325bcf08bd1fb8dd43a092de52204308cd69cc76af04fa5af75ba300d,26/06/2023 00:54:56,ESCANER
