MESA;DEPARTAMENTO;ID_DEPARTAMENTO;MUNICIPIO;ID_MUNICIPIO;CENTRO_DE_VOTACIÓN;PADRÓN;UNE;AZUL;VALOR UNIONISTA;CABAL;TODOS;VAMOS;PHG;PR;PIN;ELEFANTE;VICTORIA;SEMILLA;FCN-NACION;PPN;UR;URNG-MAIZ WINAQ;CREO;BIEN;VIVA;MI FAMILIA;CAMBIO;VOS;VÁLIDOS;NULOS;BLANCO;EMITIDOS;INVÁLIDOS;TOTAL;IMPUGNACIONES;PAPELETAS-RECIBIDAS;PAPELETAS-NO-USADAS;PRES-VOTAR;VALIDOS_CALCULADO;EMITIDOS_CALCULADO;TOTAL_CALCULADO;OBSERVACIONES;CONTABILIZADA;CÓDIGO_INTEGRIDAD;FECHA_HORA_PUBLICACIÓN;DIGITALIZACIÓN
6810;El Progreso;4;Guastatoya;1;737;400;28;5;47;11;1;39;0;2;0;1;2;41;1;1;4;0;0;7;5;8;0;8;211;57;10;278;0;278;--;400;122;278;211;278;278;Algún campo sin dato;1;1f05167224221f608497946e65e7d35fc6564ee196923ee03b8080d0ba29f656;26/06/23 2:16;ESCANER
6811;El Progreso;4;Guastatoya;1;737;400;36;5;48;10;2;37;0;0;0;1;9;31;1;0;0;0;1;3;4;2;1;11;202;79;14;295;0;295;--;400;105;295;202;295;295;Algún campo sin dato;1;d3521b2b701b886172a679beba2e7658c1fc168e80fd8ff779ad21e4aceb8288;25/06/23 20:33;ESCANER
6812;El Progreso;4;Guastatoya;1;737;400;32;4;34;14;0;48;0;2;1;0;5;30;0;0;1;2;0;7;11;3;0;13;207;78;12;297;0;297;--;400;103;297;207;297;297;Algún campo sin dato;1;49d6cb06a3d1a8065514e93884db1ae65cf367dd84e2f6b15ae6597c1ef5ec9a;26/06/23 1:34;ESCANER
6813;El Progreso;4;Guastatoya;1;737;400;18;8;48;13;2;43;0;2;0;1;1;31;1;1;2;3;3;6;9;1;0;7;200;79;15;294;0;294;--;400;106;294;200;294;294;Algún campo sin dato;1;46fe3560a33795db29ca0009a88292a7d66dff0522d7a0715c718e8ec2d374c3;26/06/23 1:43;ESCANER
6814;El Progreso;4;Guastatoya;1;737;400;21;2;47;15;2;41;0;1;0;0;4;35;2;1;1;1;5;7;10;5;0;10;210;94;6;310;0;310;--;400;90;310;210;310;310;Algún campo sin dato;1;e542aae6232efc4bb8c6e29bbdd517e9d4ff7989005d70229242ed2ede9c4992;25/06/23 20:28;ESCANER
6815;El Progreso;4;Guastatoya;1;737;400;19;5;46;13;1;36;0;3;0;2;4;41;0;2;3;0;2;8;9;1;0;16;211;82;12;305;0;305;--;401;96;305;211;305;305;Algún campo sin dato;1;957390170aa374031ccc26b5031832e71aba226d454c283a090788f1395d37af;26/06/23 1:52;ESCANER
6816;El Progreso;4;Guastatoya;1;737;400;21;3;47;18;1;43;0;1;0;2;5;36;1;1;2;0;1;5;14;1;0;7;209;93;9;311;0;311;--;400;89;311;209;311;311;Algún campo sin dato;1;c42db0d026c2558c08a5fbc7acbe8f2ec87c3fb31312bc29a28ef9dabfa3529b;25/06/23 22:58;ESCANER
6817;El Progreso;4;Guastatoya;1;737;400;13;6;54;9;0;31;0;1;0;0;3;39;1;0;1;2;1;9;9;0;0;19;198;63;6;267;0;267;--;400;133;--;198;267;267;Algún campo sin dato;1;e72f4cd8b837a052b013a06d03e6b3e7ab0b0f96f1fd6e2dffb98260ff9f8339;26/06/23 0:28;ESCANER
6818;El Progreso;4;Guastatoya;1;737;400;16;4;40;21;1;29;0;0;0;0;8;40;1;0;2;0;0;17;12;2;0;10;203;62;6;271;0;271;--;400;129;271;203;271;271;Algún campo sin dato;1;7760473d558f7cc4d8c25613390b3838104e8d44e54511279d4b741f1922f6e0;25/06/23 20:42;ESCANER
6819;El Progreso;4;Guastatoya;1;737;400;17;5;45;15;0;33;0;3;0;0;3;45;0;1;0;2;1;3;6;5;0;13;197;72;12;281;0;281;--;399;118;281;197;281;281;Algún campo sin dato;1;83ceec1b0d270d86768495bcb5c9a67426472fd9bb624b2f83a0227bed85ce2e;26/06/23 2:05;ESCANER
6820;El Progreso;4;Guastatoya;1;738;400;19;1;52;10;0;18;0;0;0;1;7;45;0;0;3;2;0;9;15;3;0;14;199;72;10;281;0;281;--;400;119;281;199;281;281;Algún campo sin dato;1;3a5a02399b38725fc73e2cd31845717803b90e228c312f78e56a10a2d6be8d33;26/06/23 3:11;ESCANER
6821;El Progreso;4;Guastatoya;1;738;400;19;7;39;11;1;17;0;1;0;1;3;45;2;0;3;0;1;6;9;4;0;15;184;78;10;272;0;272;--;400;128;272;184;272;272;Algún campo sin dato;1;2ecd327a6eae19feaae0e8bd23c82b1e7c17cee0d9ded21b590cd06d907b4483;25/06/23 21:53;ESCANER
6822;El Progreso;4;Guastatoya;1;738;400;22;6;46;9;0;31;0;0;0;0;3;52;0;0;3;0;3;6;8;2;1;18;210;86;8;304;0;304;--;397;93;304;210;304;304;Algún campo sin dato;1;0338dd2c45bfff02122f960017d885d7414c14988e0c44eb29d48706f34a3b6a;25/06/23 21:59;ESCANER
6823;El Progreso;4;Guastatoya;1;738;400;19;0;47;4;1;34;0;1;0;2;1;40;1;1;1;2;2;3;16;4;0;6;185;58;11;254;0;254;--;400;146;254;185;254;254;Algún campo sin dato;1;b91351db6f381e3139d5bd7c6c5b4dd8c94785fc8f8acb40c0dd00749d3081c2;26/06/23 1:47;ESCANER
