MESA;DEPARTAMENTO;MUNICIPIO;PADRÓN;COMUNIDAD;NOMBRE DEL ESTABLECIMIENTO;UBICACIÓN/DIRECCIÓN
1;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO RAFAEL AQUECHE;9 CALLE 2-36
2;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO RAFAEL AQUECHE;9 CALLE 2-36
3;Distrito Central;Guatemala;277;CABECERA MUNICIPAL;INSTITUTO RAFAEL AQUECHE;9 CALLE 2-36
4;Distrito Central;Guatemala;277;CABECERA MUNICIPAL;INSTITUTO RAFAEL AQUECHE;9 CALLE 2-36
5;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
6;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
7;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
8;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
9;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
10;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
11;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
12;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
13;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
14;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
15;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
16;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
17;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
18;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
19;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;GRUPO ESCOLAR CENTROAMERICANO NÚMERO 1;10 CALLE 2-37
