TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
922,877,95.1193,874,94.7939,3,332560,216665,65.1506

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNIONISTA,CABAL,AZUL,URNG-MAIZ WINAQ,VAMOS,PHG,VICTORIA,MLP,PR,P A N,UR,PIN,BIEN,VALOR,UNE,PPN,FCN-NACION,VIVA,ELEFANTE,CREO,CAMBIO,PODEMOS,MI FAMILIA,SEMILLA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5888,"Chimaltenango",3,"Chimaltenango",1,619,400,8,5,7,8,15,19,3,6,6,1,2,3,0,3,11,12,1,5,30,4,1,8,1,5,30,18,212,44,8,264,0,264,--,--,--,212,264,264,Algún campo sin dato,1,4d3aaaba0ee1c483aed0e8bc3c6dc705edec9daffb4e1d4dd1138cd30be07f25,25/06/2023 23:38:51,ESCANER
5889,"Chimaltenango",3,"Chimaltenango",1,619,400,7,1,19,13,11,13,6,4,4,4,0,3,1,2,3,11,4,7,25,3,4,9,5,3,30,12,204,31,3,238,0,238,--,400,162,204,238,238,Algún campo sin dato,1,dc4659d5bdad0faf63fa54b40d1e8ce28996e9bbc8ca85a666af8140c93ff4a4,25/06/2023 23:26:58,ESCANER
5890,"Chimaltenango",3,"Chimaltenango",1,619,400,10,3,13,11,8,16,2,5,6,0,2,1,1,4,15,7,4,2,16,3,0,14,0,6,42,11,203,34,12,249,0,249,--,400,151,202,248,248,Sumas Asentadas sin cuadrar,1,7ecbe1434f21d78048982d7d3085bde4b2d6d5676f6f655040682e0110351bcc,26/06/2023 02:43:47,ESCANER
5891,"Chimaltenango",3,"Chimaltenango",1,619,400,7,4,14,13,10,15,3,6,2,2,3,1,0,2,11,11,3,3,21,2,3,13,5,2,29,11,196,37,11,244,0,244,--,400,156,196,244,244,Algún campo sin dato,1,cc68dfee18e8b30ce1c9fdc3a91a7dcf26079cc3b022a0733808a575fbd70ad6,26/06/2023 00:27:18,ESCANER
5892,"Chimaltenango",3,"Chimaltenango",1,620,400,6,3,10,12,8,16,3,4,7,0,0,0,0,4,3,7,2,6,16,2,4,13,3,7,76,20,232,26,2,260,0,260,0,400,140,232,260,260,,1,c2f1673e333ea82ae510478b07c542f7471be0c9d587294ebf7fa12a75a00f1e,25/06/2023 22:09:28,ESCANER
5893,"Chimaltenango",3,"Chimaltenango",1,620,400,7,3,10,4,9,11,3,6,3,3,1,1,0,1,9,8,4,4,21,0,1,17,8,2,75,17,228,20,2,250,0,250,--,400,150,228,250,250,Algún campo sin dato,1,c63906ff04f2a596e58a5c9f22d1766cded4a8d0cde246db599dee8b2dc4d694,26/06/2023 02:40:09,ESCANER
5894,"Chimaltenango",3,"Chimaltenango",1,620,257,6,3,6,4,6,8,1,2,2,1,0,0,1,1,1,2,1,4,10,2,0,8,2,1,33,12,117,13,0,130,0,130,--,257,127,117,130,130,Algún campo sin dato,1,8d28cd2eee54cc474dccb7da47c6996d8d83f04616c24304045600008150ec4d,25/06/2023 23:34:57,ESCANER
5895,"Chimaltenango",3,"Chimaltenango",1,620,256,7,2,4,7,4,8,1,3,2,0,1,0,0,2,6,3,3,2,8,1,0,5,2,2,35,7,115,12,1,128,0,128,0,256,128,115,128,128,,1,38f543b7fb08968d94c0330a0a4ef50e8d52ce9a589da906881b2e98d1360616,25/06/2023 22:56:04,ESCANER
5896,"Chimaltenango",3,"Chimaltenango",1,621,400,10,0,16,8,14,20,3,6,6,1,3,2,1,4,7,4,4,6,33,0,3,14,3,4,26,13,211,35,16,262,0,262,--,400,138,211,262,262,Algún campo sin dato,1,a54b8d2b4ea23d64bbe8045ddaad2566f9f0d3444146e7bb406f2dd8b94832e2,25/06/2023 23:49:09,ESCANER
5897,"Chimaltenango",3,"Chimaltenango",1,621,400,9,4,6,9,6,15,3,4,5,0,2,0,1,0,8,9,8,7,43,8,2,16,8,4,27,8,212,45,5,262,--,--,0,404,142,212,262,262,Algún campo sin dato,1,05c2f9ce4efd5584a85dcad31d783791df34b6cd1eafd01ef6a8ab75546ea344,26/06/2023 02:31:09,ESCANER
5898,"Chimaltenango",3,"Chimaltenango",1,621,400,4,4,16,16,11,16,3,12,1,1,1,3,2,5,7,9,7,7,25,6,4,15,5,3,27,17,227,51,9,287,0,287,0,400,113,227,287,287,,1,d278ce0c18c3398d02a59c183c453c01f948bcd2572286f01397d1f2f53a2416,26/06/2023 00:04:36,ESCANER
5899,"Chimaltenango",3,"Chimaltenango",1,621,400,17,4,11,8,8,14,3,7,6,0,3,3,0,4,9,8,6,8,24,4,3,15,6,3,28,12,214,47,8,269,0,269,--,400,128,214,269,269,Algún campo sin dato,1,2e7af17b6ced2057b6156ce5ec721b657797b758fa07d7430846a8678a862c62,25/06/2023 23:54:55,ESCANER
5900,"Chimaltenango",3,"Chimaltenango",1,621,400,15,4,18,7,11,16,1,9,2,0,3,4,2,3,5,8,4,3,42,11,2,13,6,6,15,18,228,40,7,275,0,275,--,400,125,228,275,275,Algún campo sin dato,1,5b275577308be822277fbfd0eedbe56da8cb1496363fc490ab3c4b25930d5136,25/06/2023 22:15:52,ESCANER
5901,"Chimaltenango",3,"Chimaltenango",1,621,400,13,1,12,8,17,11,4,5,7,1,1,1,0,5,4,12,10,4,33,4,3,12,1,0,33,18,220,32,5,257,0,257,--,400,143,220,257,257,Algún campo sin dato,1,db08f928aa455e115adda51a0e0eaf3c455330bcb58eed7cc808e01bd23ca2f0,26/06/2023 00:19:54,ESCANER
5902,"Chimaltenango",3,"Chimaltenango",1,621,400,9,0,11,6,12,16,3,9,4,0,2,2,2,0,11,14,3,4,27,3,2,9,1,4,22,10,186,43,9,238,0,238,0,400,162,186,238,238,,1,912376f04d6c2d2f79738185132e513372a44d11638635eb688765213c0b9d3c,26/06/2023 02:18:25,ESCANER
5903,"Chimaltenango",3,"Chimaltenango",1,621,400,3,3,16,6,10,19,3,9,0,2,0,4,0,3,8,5,6,6,24,3,1,14,2,2,37,16,202,40,3,245,0,0,0,400,155,202,245,245,,1,b04440fb3316f938bcd942cfef7864121f18e0f02416a5608543cd1743a8f5d1,26/06/2023 01:41:34,ESCANER
5904,"Chimaltenango",3,"Chimaltenango",1,621,400,7,5,9,14,14,15,3,3,2,3,2,2,0,0,9,8,6,10,31,9,6,10,6,4,28,24,230,40,10,280,0,280,0,397,117,230,280,280,,1,419ffd9923fdabf510a2ec385d2ff0a8da7a7e9c7f8ef8b88509965eb8ae115b,26/06/2023 01:35:26,ESCANER
5905,"Chimaltenango",3,"Chimaltenango",1,621,400,7,4,11,17,8,10,5,5,5,3,1,2,1,2,8,8,6,4,15,6,0,13,2,2,33,21,199,51,10,260,--,--,1,400,140,199,260,260,Algún campo sin dato,1,60f5b3adfe212c738003ffe1826ede12142f293e73fd1841598cae7d85451754,26/06/2023 00:14:32,ESCANER
5906,"Chimaltenango",3,"Chimaltenango",1,621,400,10,4,8,18,12,17,1,3,3,0,5,4,0,1,4,11,6,10,31,7,2,11,4,1,28,18,219,48,9,276,0,276,--,400,124,219,276,276,Algún campo sin dato,1,a3ba7f3da097841e7f6f835935324d35c66b39b4e6d2cddf6d48a8dc3e2bb9fd,25/06/2023 23:59:20,ESCANER
5907,"Chimaltenango",3,"Chimaltenango",1,621,400,18,4,21,15,8,14,6,4,4,0,1,1,0,2,4,10,5,8,40,5,1,13,2,1,29,10,226,25,10,261,0,261,0,400,139,226,261,261,,1,82f10fded484f3712a8a8841a2c504b90d4fa2841f759504740b7aac3ff705f6,26/06/2023 00:40:08,ESCANER
5908,"Chimaltenango",3,"Chimaltenango",1,621,400,8,2,11,5,9,18,0,2,2,1,3,2,2,3,9,7,6,6,24,3,2,20,2,4,28,10,189,43,15,247,0,247,--,400,153,189,247,247,Algún campo sin dato,1,a78176c41ee320e13b22d545a86aaaedede9c61106000e0555fd8526e14b0471,26/06/2023 00:24:11,ESCANER
5909,"Chimaltenango",3,"Chimaltenango",1,621,400,7,3,16,12,10,12,1,3,5,1,0,3,1,2,6,5,0,1,39,2,1,9,7,4,29,17,196,37,10,243,0,243,--,400,157,196,243,243,Algún campo sin dato,1,374f768435329f366e8c0fb1fba52b475ea1e9c4c2a4244935bbddd2437925c2,26/06/2023 01:27:30,ESCANER
5910,"Chimaltenango",3,"Chimaltenango",1,621,400,17,4,9,12,11,10,1,7,5,0,0,1,0,1,1,3,6,3,18,3,4,13,3,3,65,16,216,20,0,236,0,236,0,400,164,216,236,236,,1,6a013cb548d9ae0712daaed3d4e8106e053c88f7d5a86e848f12c4c38256c4f3,26/06/2023 01:15:40,ESCANER
5911,"Chimaltenango",3,"Chimaltenango",1,621,400,5,0,21,12,6,8,4,5,9,0,1,0,0,5,3,11,3,4,27,6,4,15,3,3,66,16,238,25,3,266,0,266,--,404,135,237,265,265,Sumas Asentadas sin cuadrar,1,c82069b85ba79b33a8550ae8b0b8cb89365a368e73bc3a82e623006e9ab4d6a7,26/06/2023 01:50:58,ESCANER
5912,"Chimaltenango",3,"Chimaltenango",1,621,269,2,1,4,1,7,5,0,2,0,0,0,0,0,4,4,4,0,0,20,0,0,6,0,0,44,11,117,22,4,143,0,143,0,--,--,115,141,141,Sumas Asentadas sin cuadrar,1,8faa3e2cb41068197a61dbc5f6abdec92c6f8906f05f6a670453a160f9f273f7,25/06/2023 22:49:44,ESCANER
5913,"Chimaltenango",3,"Chimaltenango",1,621,269,7,1,6,8,4,10,0,0,0,1,1,3,0,2,2,3,3,0,16,1,0,7,1,1,16,3,96,13,3,112,0,112,--,270,158,96,112,112,Algún campo sin dato,1,f0c512539e612c5ba1bfb9e84cce0a5c006ba5af8b4d817ad47b2ae4cc792f52,26/06/2023 00:58:31,ESCANER
5914,"Chimaltenango",3,"Chimaltenango",1,622,400,11,1,23,13,10,11,6,4,1,--,1,3,1,4,10,13,3,9,21,6,4,18,6,6,23,14,222,40,3,265,0,265,0,400,135,222,265,265,Algún campo sin dato,1,75c7c3c3c8493fde100f09bee73e3f02ad4cf5f6c47860da1c9c91c9473f3198,25/06/2023 22:59:26,ESCANER
5915,"Chimaltenango",3,"Chimaltenango",1,622,400,10,6,23,17,17,16,3,8,7,4,2,2,0,2,8,7,3,6,26,7,2,14,1,7,25,9,231,56,5,292,0,292,0,401,106,232,293,293,Sumas Asentadas sin cuadrar,1,202baf0f849264261a742ec5a9ed15ae314fb1674204f6c6bbad4c070bba2f5a,26/06/2023 02:30:06,ESCANER
5916,"Chimaltenango",3,"Chimaltenango",1,622,400,10,4,16,11,0,8,2,6,6,1,6,8,0,1,9,3,6,8,28,2,2,5,4,6,36,14,223,59,8,290,0,290,--,400,110,202,269,269,Sumas Asentadas sin cuadrar,1,2e82fbdf73f339a1677937400f136c11c778c5fbcfaa9e07e1d97e2161ad49d9,26/06/2023 00:47:17,ESCANER
5917,"Chimaltenango",3,"Chimaltenango",1,622,400,7,4,25,7,19,16,4,5,5,3,1,2,2,0,8,7,6,5,21,0,3,15,1,3,35,22,226,45,5,276,1,277,0,400,122,226,276,277,,1,ec564e2b87bd2b7d7bac9c3d2495be463508b0ec598debff0cd9ce7c1cee0a0e,26/06/2023 01:44:01,ESCANER
5918,"Chimaltenango",3,"Chimaltenango",1,622,400,14,3,11,12,15,10,1,5,6,0,2,1,1,2,7,8,6,6,29,6,7,16,4,7,39,14,232,46,10,288,0,288,0,400,112,232,288,288,,1,b40fea3fde89eab27f293397b62199f2d1d2806bb769117bde716991851fd557,26/06/2023 00:28:01,ESCANER
5919,"Chimaltenango",3,"Chimaltenango",1,622,400,15,6,19,12,14,14,7,6,3,6,2,0,0,2,5,5,3,4,25,1,6,7,3,5,38,17,225,21,3,249,0,249,0,404,155,225,249,249,,1,d7704c049d3d6ce53524b6d215eee1b9e7771aef6d5259bc98e2910f9a3d0322,26/06/2023 01:52:52,ESCANER
5920,"Chimaltenango",3,"Chimaltenango",1,622,400,8,4,22,12,14,12,5,6,3,2,0,0,0,1,5,7,3,4,25,7,3,8,4,5,34,22,216,43,4,263,0,263,--,--,137,216,263,263,Algún campo sin dato,1,8944f21d74915cb4d4c9c915704f174217408c3c9466d292e9e643dff7b20532,26/06/2023 00:15:57,ESCANER
5921,"Chimaltenango",3,"Chimaltenango",1,622,400,16,3,23,13,21,16,5,6,7,1,0,0,1,3,9,6,4,5,26,3,2,15,2,3,36,27,253,45,4,302,0,302,0,400,98,253,302,302,,1,31b9100fbd0dd03826adc7a7ac96f506964e2a4084b007defeff8c37b2668894,25/06/2023 23:27:32,ESCANER
5922,"Chimaltenango",3,"Chimaltenango",1,622,400,13,6,20,8,16,14,7,6,5,2,2,2,0,0,10,4,3,4,28,4,6,9,6,3,20,24,222,28,7,257,0,257,--,400,143,222,257,257,Algún campo sin dato,1,4dc1d1975c5de3b44ee0762afa635e2f410289d92ab5ab460c370d4f3d95e2f1,25/06/2023 23:45:00,ESCANER
5923,"Chimaltenango",3,"Chimaltenango",1,622,400,9,6,12,13,10,7,5,16,6,1,3,1,1,7,10,8,2,4,28,4,2,6,3,6,35,21,226,39,4,269,0,269,--,400,131,226,269,269,Algún campo sin dato,1,270f8036a3c48782906767375a0d6ccd9484550aa9ee4e3036d362071e556857,26/06/2023 00:48:08,ESCANER
5924,"Chimaltenango",3,"Chimaltenango",1,622,400,15,8,11,14,12,13,4,3,3,4,2,1,2,2,11,8,4,5,35,4,3,3,5,5,22,23,228,37,9,274,0,274,0,400,124,222,268,268,Sumas Asentadas sin cuadrar,1,d525df71221428cf9b35abe37d34a6d347985808f5216682cb3471cc02a246cf,26/06/2023 02:03:18,ESCANER
5925,"Chimaltenango",3,"Chimaltenango",1,622,400,6,1,22,7,13,20,2,4,3,0,1,1,0,4,3,9,1,5,21,3,2,14,2,2,45,21,212,31,6,249,0,249,--,400,151,212,249,249,Algún campo sin dato,1,cb4c8f15661280d5a41c35cf9604c6b039d94ce61ce27834d34276020d0e20c0,25/06/2023 23:54:44,ESCANER
5926,"Chimaltenango",3,"Chimaltenango",1,622,400,5,1,17,14,15,10,3,1,7,4,1,1,1,3,5,6,3,4,26,3,2,7,1,2,68,21,231,16,2,249,0,249,0,400,151,231,249,249,,1,f098e805740d48fc92dfd02ac1532387fa6c0bb9d6d44fb75fced772bd897e6c,26/06/2023 02:20:19,ESCANER
5927,"Chimaltenango",3,"Chimaltenango",1,622,395,9,2,20,8,19,19,2,9,5,1,1,2,0,5,7,10,3,4,15,3,0,14,2,4,66,18,248,25,0,273,0,273,0,378,105,248,273,273,,1,d7394ef8eec8d3563aa778a9d30b066921e592340639311718badd0ff27cb550,26/06/2023 01:15:17,ESCANER
5928,"Chimaltenango",3,"Chimaltenango",1,622,395,4,7,12,10,6,7,3,0,5,0,1,0,1,1,2,1,2,1,13,3,5,8,0,5,44,10,151,24,2,177,2,179,0,395,216,151,177,179,,1,1f133b1d87b8db5001c616a0b39f7bc59d983528dc0f5a6f388c41cfaea8c976,25/06/2023 22:26:29,ESCANER
5929,"Chimaltenango",3,"Chimaltenango",1,623,400,9,2,13,10,10,14,1,3,8,1,2,4,2,5,6,8,12,7,35,7,3,19,3,6,41,19,250,45,3,298,3,301,0,400,99,250,298,301,,1,7fea868c4a97b16f0f605158a968a55919540752362fa6e35c7c13544e5a4b30,26/06/2023 01:49:13,ESCANER
5930,"Chimaltenango",3,"Chimaltenango",1,623,400,12,2,10,5,8,13,4,7,6,3,1,3,2,4,5,8,8,4,36,9,4,12,8,9,19,16,218,55,13,286,0,286,--,399,113,218,286,286,Algún campo sin dato,1,384a437bc1fa2d25df27425b8e3c46565e5afb0180f74b0978d614d671e67520,26/06/2023 02:48:22,ESCANER
5931,"Chimaltenango",3,"Chimaltenango",1,623,400,12,1,26,9,16,16,5,9,6,3,2,0,0,2,8,5,7,10,32,10,3,13,6,6,21,19,247,54,10,311,0,311,--,400,89,247,311,311,Algún campo sin dato,1,bf11b21adcd74bb99dbaab945427a99f5e66f23520ca083ea9d748fc864562f4,26/06/2023 00:39:35,ESCANER
5932,"Chimaltenango",3,"Chimaltenango",1,623,400,13,4,16,14,19,18,2,9,9,1,1,6,0,5,6,8,5,7,28,5,9,21,5,6,19,22,258,54,10,322,0,322,--,400,78,258,322,322,Algún campo sin dato,1,4585d5537e4f3aa8c3e628a991c73e78b27057d6319a6d381249081e2aca9c4e,26/06/2023 00:06:13,ESCANER
5933,"Chimaltenango",3,"Chimaltenango",1,623,400,8,6,11,9,16,20,1,7,4,1,1,1,0,6,7,13,6,9,32,3,5,17,4,5,29,21,242,56,12,310,0,310,0,404,94,242,310,310,,1,dcca4cf9381b9725fbf3e1373a45ab4123de91b7b647ba1e5b49d184bbddb82e,26/06/2023 01:17:40,ESCANER
5934,"Chimaltenango",3,"Chimaltenango",1,624,400,9,4,16,9,14,14,3,4,9,2,1,0,1,4,1,2,8,3,27,6,4,25,9,2,38,12,227,56,3,286,0,286,0,400,114,227,286,286,,1,f1d8c13c37e55fe472995c4d061d44316eabdc88c2268875f3a184b6866fb3d4,26/06/2023 03:03:27,ESCANER
5935,"Chimaltenango",3,"Chimaltenango",1,624,400,10,0,19,3,17,25,2,11,5,2,2,2,4,3,5,6,6,9,20,4,3,17,4,4,45,19,247,40,10,297,0,297,--,403,107,247,297,297,Algún campo sin dato,1,1f4392947fea9c13734f80ca0137d93e10b168d7fd5298c6a2df17fff890c05c,26/06/2023 01:53:06,ESCANER
5936,"Chimaltenango",3,"Chimaltenango",1,624,400,8,2,14,15,14,13,0,7,5,4,0,1,1,1,6,7,1,7,38,1,2,13,10,8,39,17,234,42,11,287,0,287,0,400,113,234,287,287,,1,c73130377a3efa81b74dfef7d864ca42589a62019059bb31e91b34635fd965cf,26/06/2023 01:42:43,ESCANER
5937,"Chimaltenango",3,"Chimaltenango",1,624,400,14,3,17,6,11,29,2,5,7,1,5,2,0,2,2,7,7,5,25,10,4,13,9,4,26,22,238,49,4,291,0,291,0,400,109,238,291,291,,1,22ddc98032cb4e4eb8ebdfd58dec26c7c7bf51be4a9a717fb2c6b084f226724b,26/06/2023 02:53:41,ESCANER
5938,"Chimaltenango",3,"Chimaltenango",1,625,400,10,3,12,8,13,15,0,10,5,2,1,4,1,5,8,--,7,5,31,7,5,13,3,9,28,18,230,48,13,291,0,291,--,397,106,223,284,284,Sumas Asentadas sin cuadrar,1,f713c05a3209e474fbf21f40d15924fce060213489611de669fae4458824a0bf,26/06/2023 04:27:26,ESCANER
5939,"Chimaltenango",3,"Chimaltenango",1,625,400,9,3,19,7,19,21,5,6,3,1,5,1,2,5,6,13,10,7,20,5,3,18,5,4,24,20,241,41,9,291,0,291,0,402,111,241,291,291,,1,f2564b3a41d0e4d402473eea9cec64c4b4dfa89939da6155a2c13cbf7069f387,26/06/2023 01:31:09,ESCANER
5940,"Chimaltenango",3,"Chimaltenango",1,625,400,11,1,18,5,11,20,2,10,5,2,2,3,1,4,9,9,0,5,26,9,3,5,5,2,40,18,229,35,8,272,0,272,--,400,128,226,269,269,Sumas Asentadas sin cuadrar,1,1113a528f7fa4742b279e6392054e179a365cd14f016349e844b895134d3438a,26/06/2023 04:56:17,ESCANER
5941,"Chimaltenango",3,"Chimaltenango",1,625,400,10,6,16,14,13,25,3,10,5,1,1,3,0,3,13,6,6,8,27,2,3,12,6,1,21,15,30,29,9,68,0,268,--,403,135,230,268,268,Sumas Asentadas sin cuadrar,1,e97d96ca54fa5fd1e0ef4cf498ffb5912cd9a7325931dd754b4393ab44a2f3b6,26/06/2023 05:49:13,ESCANER
5942,"Chimaltenango",3,"Chimaltenango",1,626,400,7,4,12,10,8,16,0,4,2,4,0,0,0,2,4,8,5,4,15,6,2,14,7,3,61,15,213,33,3,249,0,249,--,416,167,213,249,249,Algún campo sin dato,1,5dd10b8823c323801169b0cc937208cee0f50a5b48440a0819ea582c29d36f61,26/06/2023 00:49:00,ESCANER
5943,"Chimaltenango",3,"Chimaltenango",1,626,374,6,1,10,7,15,16,2,5,6,2,2,2,1,4,4,8,4,8,12,5,1,16,4,4,51,20,216,25,3,244,0,244,--,374,130,216,244,244,Algún campo sin dato,1,eab494763ea8306cc602d16ab4b2e065ff5a338db508b601e8c1d226d8d3b4b0,26/06/2023 00:14:27,ESCANER
5944,"Chimaltenango",3,"Chimaltenango",1,626,373,3,4,12,9,5,21,3,3,2,2,0,1,1,0,4,7,1,1,12,2,1,11,3,1,32,15,156,19,1,176,0,176,--,373,197,156,176,176,Algún campo sin dato,1,f440cd7e662fcec65edb7aa5eac20cdd6e88d159fc32869f4984585e862c1508,25/06/2023 23:15:27,ESCANER
5945,"Chimaltenango",3,"Chimaltenango",1,627,400,11,4,11,7,16,7,1,1,3,1,2,1,1,5,6,12,5,3,45,2,3,13,5,7,13,12,197,49,7,253,0,253,--,408,155,197,253,253,Algún campo sin dato,1,134bc8f47afab1690e11528cb816f8eb9a60a0da01d9b1d61a1ca174cdfc8d0b,26/06/2023 04:49:09,ESCANER
5946,"Chimaltenango",3,"Chimaltenango",1,627,400,13,3,0,9,14,14,1,7,3,2,2,2,1,1,10,6,5,3,35,7,5,10,3,7,21,20,214,47,13,274,0,274,0,400,126,204,264,264,Sumas Asentadas sin cuadrar,1,02b7b96f6d0b009484eb833547553c1826540c7f5461f394b9c4e7372d0150d7,26/06/2023 03:09:56,ESCANER
5947,"Chimaltenango",3,"Chimaltenango",1,627,400,3,4,17,15,7,13,1,5,3,1,2,5,0,5,10,17,6,6,32,5,4,12,2,3,24,13,214,48,14,276,0,276,0,404,128,215,277,277,Sumas Asentadas sin cuadrar,1,61541e44eac59e70b24243f4ac8b9a16a92a2c31ce14597ef2969ef3d62b942c,26/06/2023 02:55:07,ESCANER
