TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
1178,1172,99.4906,1164,98.8115,8,451720,279477,61.8695

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,PIN,TODOS,AZUL,PR,VALOR,UNE,VICTORIA,VAMOS,ELEFANTE,WINAQ,MLP,PPN,BIEN,UR,PHG,PPG,P A N,CREO,VOS,MI FAMILIA,VIVA,PODEMOS,FCN-NACION,CAMBIO,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7156,"Escuintla",5,"Escuintla",1,800,400,15,0,1,5,0,16,23,22,10,7,5,1,6,4,1,1,1,3,2,22,1,20,15,2,4,13,200,45,7,252,0,252,--,400,148,200,252,252,Algún campo sin dato,1,500b5e234f04f5fa1e5c595a84cb7864345803e0e0d154d5aa37da6c5ef1a159,26/06/2023 02:04:53,ESCANER
7157,"Escuintla",5,"Escuintla",1,800,400,14,0,10,7,4,8,22,24,10,9,4,2,1,7,2,0,0,0,2,17,1,18,10,5,1,22,200,45,8,253,1,254,1,401,146,200,253,254,,1,238e3f6879f4a6833aafa0c2005459963aa97db37b195829db30f7c60213fdf4,26/06/2023 03:09:45,ESCANER
7158,"Escuintla",5,"Escuintla",1,800,400,13,9,0,3,1,7,23,17,16,6,4,3,4,3,2,0,3,2,2,9,2,19,1,1,4,11,165,74,0,239,74,239,--,397,158,165,239,313,Sumas Asentadas sin cuadrar,1,0150db853bc7611e9d3b21d45aecb2db141658d4d2fb1e2a515fe08937062a78,25/06/2023 23:52:27,ESCANER
7159,"Escuintla",5,"Escuintla",1,800,400,9,2,5,11,1,7,30,25,10,7,8,2,4,6,5,0,5,2,1,16,5,16,9,7,0,18,211,40,6,257,0,257,--,400,143,211,257,257,Algún campo sin dato,1,a1f9471ea80bef166e8868e6e5f989b19a082dd007c01488ee7774a2aea15494,26/06/2023 00:34:01,ESCANER
7160,"Escuintla",5,"Escuintla",1,800,400,9,1,1,4,0,12,24,24,12,6,4,3,6,9,2,1,0,3,1,17,5,10,13,6,4,10,187,67,5,259,0,259,--,401,142,187,259,259,Algún campo sin dato,1,4972cf97ddac2311e4f3a55883abc25974985db9e5e9466a5d59f77b5fd9dcad,26/06/2023 01:28:15,ESCANER
7161,"Escuintla",5,"Escuintla",1,800,400,6,0,5,8,0,11,18,29,17,7,5,0,1,15,3,1,2,1,2,22,2,14,17,4,3,21,214,49,7,270,0,270,0,400,130,214,270,270,,1,6cf84511828161f3bb2a835d056fc3f06b3274b3f347e0fd18e6f1df10b527f5,26/06/2023 02:19:22,ESCANER
7162,"Escuintla",5,"Escuintla",1,800,400,19,0,0,6,0,7,20,22,15,2,1,2,1,6,3,1,2,0,3,20,4,18,13,8,1,5,179,27,5,211,42,253,--,400,147,179,211,253,Algún campo sin dato,1,4040435ff93c1182475384419be12202448018be87e8196e325b2a8c6e0fa8d9,26/06/2023 02:30:44,ESCANER
7163,"Escuintla",5,"Escuintla",1,800,400,11,2,4,4,3,15,22,26,10,5,5,1,6,3,0,0,3,0,1,23,0,19,11,5,2,23,204,44,3,251,0,251,--,416,165,204,251,251,Algún campo sin dato,1,de5e739e9a04e97970785f28d1fe9d0307696945b3d625f89a2a3a48a66b0c37,26/06/2023 02:55:59,ESCANER
7164,"Escuintla",5,"Escuintla",1,800,400,10,0,4,5,0,12,28,19,9,2,2,1,7,5,1,0,1,0,0,26,2,18,7,6,1,30,196,47,1,244,0,244,--,403,159,196,244,244,Algún campo sin dato,1,8254c1a801a0dd5267c2a2cfd166eea6d9d795adeb6cdd7b2c593bc5c8408086,25/06/2023 23:23:50,ESCANER
7165,"Escuintla",5,"Escuintla",1,800,400,16,3,4,7,1,1,20,23,18,3,3,2,4,2,4,1,0,2,1,20,0,16,10,9,1,23,202,39,4,245,0,245,--,400,155,194,237,237,Sumas Asentadas sin cuadrar,1,ba71aac57b9a189cbc4f5122ca81cf48fec18408a9c7a2d3f5d0c51b8a1b670e,26/06/2023 01:12:17,ESCANER
7166,"Escuintla",5,"Escuintla",1,800,400,15,0,3,8,2,11,24,26,14,6,4,3,1,5,3,0,1,1,2,10,4,17,6,6,4,20,196,46,1,243,0,243,--,401,158,196,243,243,Algún campo sin dato,1,6956d5185721a9db402542a00fcacfe882bb42b2d8ccbbf738854b8a3f77dd56,26/06/2023 01:28:59,ESCANER
7167,"Escuintla",5,"Escuintla",1,800,400,13,1,5,6,1,12,18,25,11,9,2,3,3,4,6,1,0,1,4,19,1,18,3,4,2,24,196,46,5,247,2,249,--,400,151,196,247,249,Algún campo sin dato,1,64493b94d0111be224babe83dc2700ae21ed7760e7d8a58ab708bfc4680e4a07,26/06/2023 03:44:02,ESCANER
7168,"Escuintla",5,"Escuintla",1,800,400,8,--,3,8,2,16,23,20,15,5,4,3,1,2,0,1,2,--,3,19,1,16,10,4,2,37,205,36,1,242,0,242,0,396,154,205,242,242,Algún campo sin dato,1,be7bcbcb4bb164146414c307faa9a6a7482d6f6d5d5ce5bc19a110aec3c19060,26/06/2023 01:57:47,ESCANER
7169,"Escuintla",5,"Escuintla",1,800,400,12,0,5,2,0,13,18,29,18,4,7,2,3,3,5,2,2,0,1,19,2,13,12,6,1,17,196,33,4,233,0,233,--,401,168,196,233,233,Algún campo sin dato,1,20dc4b584bd3cb2e553c4196f0fa21ffacba76ce7cf641df8e86eb6c503fb50b,26/06/2023 01:15:45,ESCANER
7170,"Escuintla",5,"Escuintla",1,800,400,8,3,3,6,2,13,27,17,14,3,5,1,7,2,1,0,0,3,3,17,5,9,13,9,2,22,197,44,4,244,--,244,--,400,152,195,243,243,Sumas Asentadas sin cuadrar,1,37744bcd7573b3f7f10d2414e092f08782b1979be5171d6a216deafc8c147e1d,25/06/2023 23:56:21,ESCANER
7171,"Escuintla",5,"Escuintla",1,800,400,14,0,6,9,1,13,34,21,18,5,7,4,4,0,3,0,0,1,1,19,6,16,13,6,1,25,227,34,1,262,0,262,0,400,138,227,262,262,,1,efc961f984f0ab4c1e61cef0e6d8bb2d841309d0b9b45bbb8635c27990432491,26/06/2023 02:06:41,ESCANER
7172,"Escuintla",5,"Escuintla",1,800,400,15,0,6,13,1,7,19,22,9,8,3,1,4,4,1,0,1,1,2,13,1,12,14,11,1,30,199,35,1,235,0,235,--,400,165,199,235,235,Algún campo sin dato,1,553fd9e639c648ad7e5f16c3894ac897a7416139b41f03c542b403305a620eaa,26/06/2023 00:19:24,ESCANER
7173,"Escuintla",5,"Escuintla",1,800,400,13,2,3,10,0,13,20,29,16,8,3,1,5,6,4,0,1,0,5,12,0,23,10,3,3,22,212,48,3,263,2,265,--,403,134,212,263,265,Algún campo sin dato,1,b092e4ddac35c2798e23aaf53db6b7e80b19644bee344d1ea829a51a4a40653a,26/06/2023 00:46:00,ESCANER
7174,"Escuintla",5,"Escuintla",1,800,400,20,0,2,6,2,9,22,15,9,3,5,3,5,4,2,0,2,2,0,15,2,17,6,8,3,18,180,55,5,240,0,240,0,400,160,180,240,240,,1,beaa9d4d2466ec9713dc65bebdb630d6f7a22b7b1437756f6d25d62951ee536b,26/06/2023 01:03:15,ESCANER
7175,"Escuintla",5,"Escuintla",1,800,400,13,0,2,13,0,14,32,27,9,1,4,1,4,8,2,0,0,0,1,13,1,16,7,6,2,16,192,39,3,234,0,234,--,400,166,192,234,234,Algún campo sin dato,1,cc130d57557b43b971634e2de14c1279518ff7b052ab7e79d462c74804d80b93,26/06/2023 01:56:24,ESCANER
7176,"Escuintla",5,"Escuintla",1,801,400,4,--,3,6,0,8,22,20,14,5,5,1,2,3,3,--,1,--,1,17,2,21,9,2,4,32,186,43,3,--,--,232,--,400,168,185,231,231,Sumas Asentadas sin cuadrar,1,d00009e36d55c3bec7d0d7c83c993018550aaaee8e96d087120ef7be725e9da8,26/06/2023 00:01:52,ESCANER
7177,"Escuintla",5,"Escuintla",1,801,400,11,0,5,12,0,25,19,26,14,5,2,0,2,6,2,0,0,2,2,13,2,19,16,4,5,13,208,25,4,237,0,237,0,400,163,205,234,234,Sumas Asentadas sin cuadrar,1,b8830f1011cc853e607b491e5d21f6a62631388491093801fe5c316d270625f5,26/06/2023 01:21:53,ESCANER
7178,"Escuintla",5,"Escuintla",1,801,400,19,0,1,6,2,16,13,22,13,2,3,0,4,7,1,2,0,2,3,17,1,17,8,7,3,22,191,34,3,228,0,228,--,400,172,191,228,228,Algún campo sin dato,1,5b36da823d5ba8b50088e1d9155a508e2c5950dbc2d7856130292906e1981d25,26/06/2023 02:59:02,ESCANER
7179,"Escuintla",5,"Escuintla",1,801,400,9,1,2,7,1,20,19,14,11,4,1,4,1,4,3,0,2,3,4,19,1,11,12,1,3,28,185,37,6,228,0,228,--,400,172,185,228,228,Algún campo sin dato,1,04e281bfabd0474a9ac9c83b95e4e2b2d714b7b2c4cd3456b0aaa41ce24b5731,26/06/2023 01:21:54,ESCANER
7180,"Escuintla",5,"Escuintla",1,801,400,12,1,3,7,2,13,23,21,12,1,3,2,5,5,3,0,1,0,1,12,4,10,5,8,3,26,184,27,4,215,--,--,0,399,184,183,214,214,Sumas Asentadas sin cuadrar,1,40aa5c950130e58f5d1242645ddb1d428e4ec989364d5d1d52823b0684fe70f2,25/06/2023 23:12:08,ESCANER
7181,"Escuintla",5,"Escuintla",1,801,400,16,2,2,6,2,17,15,15,10,5,2,3,2,3,2,0,1,1,3,13,1,17,12,3,5,29,187,46,5,238,1,239,0,400,161,187,238,239,,1,2eeabd6d5fc67ab50b4fef4ba5c0b9877ee9ec8f7bf83767107cce11e1be0429,26/06/2023 00:33:22,ESCANER
7182,"Escuintla",5,"Escuintla",1,801,400,14,0,4,7,0,18,21,19,14,7,0,3,4,5,0,0,1,0,1,18,0,20,11,2,3,28,20,36,3,239,0,239,--,400,161,200,239,239,Sumas Asentadas sin cuadrar,1,f91257b04cccde3cd48fbff17fedb57c1e58d0e4a799b1936c94dc5f02190524,25/06/2023 23:34:58,ESCANER
7183,"Escuintla",5,"Escuintla",1,801,400,10,0,2,10,1,11,15,35,14,5,3,2,2,7,3,0,1,0,0,16,1,9,7,5,3,37,199,24,3,226,0,199,0,399,172,199,226,226,Sumas Asentadas sin cuadrar,1,0c3fddd796e0ba22d5d2a1b91f46647038523081ed8284be5c2b634d055bfc95,26/06/2023 00:49:56,ESCANER
7184,"Escuintla",5,"Escuintla",1,801,400,23,0,6,7,1,14,9,24,19,3,10,2,4,2,1,0,1,1,0,26,2,8,11,7,2,49,232,19,0,251,0,251,--,400,149,232,251,251,Algún campo sin dato,1,24af094329993a544fae2df3beddbb340b5656956cff071c3f6c5a9294eadcfd,26/06/2023 02:16:42,ESCANER
7185,"Escuintla",5,"Escuintla",1,801,400,12,0,1,9,1,16,14,21,14,6,4,2,0,0,3,0,0,0,1,15,0,16,12,6,1,45,200,30,3,233,0,233,0,400,167,199,232,232,Sumas Asentadas sin cuadrar,1,d35f131248da234ab18cd5cf60acce1867b806f2745ce1c7ff0255426a2c233f,25/06/2023 22:38:57,ESCANER
7186,"Escuintla",5,"Escuintla",1,801,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Suma Excede Padrón,0,061ae6c82d91bc852c873c3ea818970eb4bf32ae19fb1dbe401f7c94be9cc5ab,26/06/2023 02:14:04,ESCANER
7187,"Escuintla",5,"Escuintla",1,801,400,12,1,1,7,1,12,18,20,13,5,4,3,2,0,0,1,2,0,1,9,0,11,6,10,1,43,183,24,1,208,0,208,0,400,189,183,208,208,,1,790b0960cc91d9a192866de71309027bc5042250d9a6eb88feee8e442051bdce,26/06/2023 00:17:41,ESCANER
7188,"Escuintla",5,"Escuintla",1,801,254,6,1,3,3,0,7,16,14,7,3,2,1,2,1,1,0,0,0,0,7,2,3,3,5,2,8,96,13,0,109,0,109,--,--,--,97,110,110,Sumas Asentadas sin cuadrar,1,5158959b994b8cfa7ffc3c4c860979b6173efc4d206d3c8756ae1a762eee9012,25/06/2023 23:22:17,ESCANER
7189,"Escuintla",5,"Escuintla",1,801,254,0,0,0,3,1,4,13,12,10,1,1,0,3,1,1,0,0,0,0,8,2,5,2,1,1,14,83,8,4,95,0,95,0,254,159,83,95,95,,1,71e77c57062156ba5f1259c885ecd3a0a8689f748e38510fdcd43d0ab73156c7,25/06/2023 22:25:12,ESCANER
7190,"Escuintla",5,"Escuintla",1,802,400,8,1,3,7,0,9,30,20,11,5,2,2,7,8,3,1,2,3,1,18,2,18,12,0,1,24,198,46,3,247,0,247,0,400,153,198,247,247,,1,03ca0fcfe92b1168604134dd778e14e5a9f107179167d9c19cbf15914491ec44,26/06/2023 02:33:18,ESCANER
7191,"Escuintla",5,"Escuintla",1,802,400,18,0,7,6,3,9,32,20,11,9,6,3,3,6,3,0,1,1,1,13,3,16,12,7,2,21,213,36,6,255,0,255,1,397,142,213,255,255,,1,c2a4ca8d9e3ea298f4bd3fbdacde7870a8a12796568d1dddf56184bf94943cc8,26/06/2023 02:51:33,ESCANER
7192,"Escuintla",5,"Escuintla",1,802,400,9,3,1,10,2,9,26,28,17,6,5,2,6,1,4,0,1,2,3,17,2,24,9,5,1,17,210,43,6,259,0,259,--,389,130,210,259,259,Algún campo sin dato,1,461049b6fbf8eb02ac700b9a0702cf573d325f23d96db138e894e3bb36bab406,26/06/2023 04:54:17,ESCANER
7193,"Escuintla",5,"Escuintla",1,802,400,14,1,7,10,2,18,37,25,19,4,2,3,1,5,3,1,1,1,1,14,4,24,8,2,0,13,220,38,10,268,0,268,0,400,132,220,268,268,,1,a45c184a2073e44e7659af50422a52556359966437a1542665249e6c6d037811,26/06/2023 03:04:01,ESCANER
7194,"Escuintla",5,"Escuintla",1,802,400,6,0,6,6,5,14,28,16,20,8,6,5,4,4,2,1,0,1,1,14,2,13,10,5,2,22,223,55,9,287,0,287,0,401,136,201,265,265,Sumas Asentadas sin cuadrar,1,06adcc13ad053549ed1f70f2212427a6b75b6cbce3835aa7e1b7eaed44da26f4,26/06/2023 03:02:42,ESCANER
7195,"Escuintla",5,"Escuintla",1,802,400,9,2,5,17,3,10,42,26,14,5,4,6,2,4,1,0,0,0,0,0,3,17,9,3,0,18,209,41,7,257,0,257,--,400,143,200,248,248,Sumas Asentadas sin cuadrar,1,c20b1667bc726ed5687ee5ef73c9322a5fc1427166ef776b88f5cb5e894d75bc,26/06/2023 05:15:38,ESCANER
