TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
709,708,99.8589,704,99.2947,4,261838,157877,60.2956

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,BIEN,VALOR UNIONISTA,UNE,WINAQ,VICTORIA,VAMOS,PHG,PPN,TODOS,MLP,U R N G - MAIZ,P A N,UR,CAMBIO,PODEMOS,CREO,FCN-NACION,VIVA,VOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8334,"Santa Rosa",6,"Cuilapa",1,975,400,6,11,22,9,26,1,0,50,1,4,5,1,0,11,1,1,1,6,0,8,5,1,170,54,6,230,0,230,--,400,170,170,230,230,Algún campo sin dato,1,e7a720ddf70ab248436ff1afc1a9c1418ab1b71f28495992d877fc61d048e3fc,25/06/2023 21:54:48,ESCANER
8335,"Santa Rosa",6,"Cuilapa",1,975,400,14,13,26,16,20,7,1,57,3,5,5,3,6,5,0,2,0,2,0,4,9,0,198,52,9,259,0,259,--,400,141,198,259,259,Algún campo sin dato,1,d77c6b47dd830440fe94ba2bc690d41652be1a2ad071c5ad0dd46bfb10cdc61a,26/06/2023 00:36:15,ESCANER
8336,"Santa Rosa",6,"Cuilapa",1,975,400,9,17,22,10,34,4,1,64,0,2,6,2,0,4,1,2,0,9,1,6,6,0,200,64,9,273,0,273,--,400,127,200,273,273,Algún campo sin dato,1,83b409408262dc06af98b921624f5e34bcf8c5cabc5ffcbdde42e9e0a55c9db2,26/06/2023 01:07:42,ESCANER
8337,"Santa Rosa",6,"Cuilapa",1,975,400,10,7,19,16,39,4,3,67,1,2,4,2,5,4,1,1,1,4,0,4,3,4,201,50,13,264,0,264,--,400,133,201,264,264,Algún campo sin dato,1,3ed4678c8b2598fb659f4e00be790bfc01f6f1136d0762d0aa31371221974f9a,25/06/2023 23:08:46,ESCANER
8338,"Santa Rosa",6,"Cuilapa",1,975,400,15,18,19,19,30,1,3,68,1,2,2,6,7,3,2,1,3,1,1,6,7,4,219,58,11,288,0,288,--,400,112,219,288,288,Algún campo sin dato,1,d823245d177db2d010d3f7404cd01990688f7fb125f10e95c0df92af6b1ae152,26/06/2023 03:25:18,ESCANER
8339,"Santa Rosa",6,"Cuilapa",1,975,400,16,11,22,13,36,1,3,69,3,1,6,1,3,4,2,0,1,2,0,3,9,1,207,63,6,276,1,277,--,400,123,207,276,277,Algún campo sin dato,1,5aa32bf79a89ec9398e47a1b9f86ba72cda6f2ef181de220a6975c9ab4161d9c,26/06/2023 01:23:41,ESCANER
8340,"Santa Rosa",6,"Cuilapa",1,975,400,14,19,25,21,21,2,2,66,1,3,5,1,2,5,0,0,1,5,1,5,11,1,211,61,8,280,0,280,--,400,120,211,280,280,Algún campo sin dato,1,300e6c6ffc15e325789614e5bca1c7054f84d0f83c671c2d2b97d1047a40bfbd,26/06/2023 01:28:26,ESCANER
8341,"Santa Rosa",6,"Cuilapa",1,975,400,14,16,20,14,19,4,5,66,0,3,4,5,7,7,2,0,1,1,3,1,6,1,199,58,7,264,0,264,--,400,136,199,264,264,Algún campo sin dato,1,e9ba559abd5a63a2fb331fde5bec1dcb6c23faac974ca763d0fc70fc98a10aff,25/06/2023 23:16:13,ESCANER
8342,"Santa Rosa",6,"Cuilapa",1,975,400,10,14,20,19,21,5,2,62,0,2,4,2,5,4,1,1,0,1,0,6,10,0,189,34,10,233,0,233,--,400,167,189,233,233,Algún campo sin dato,1,f66cea57f244d1363bccc3a6a428e2a1e24c1f6836a846157324f7f388774b0f,26/06/2023 00:08:42,ESCANER
8343,"Santa Rosa",6,"Cuilapa",1,975,400,6,11,30,9,25,4,0,54,4,2,8,1,5,4,1,2,0,3,0,5,14,0,135,45,8,188,0,188,--,400,157,188,241,241,Sumas Asentadas sin cuadrar,1,71014012a398daea4f121246b309c82473e9cc11dcb4225f2540c00df70b6001,26/06/2023 04:03:28,ESCANER
8344,"Santa Rosa",6,"Cuilapa",1,975,400,13,11,15,21,26,1,3,54,5,2,5,3,2,6,0,3,1,5,0,7,17,1,200,51,4,255,0,200,--,400,145,201,256,256,Sumas Asentadas sin cuadrar,1,fcc0272a1815ba647c6754c67a42c24f246fd47d9935b0c10836d3d8e06f31aa,25/06/2023 23:23:34,ESCANER
8345,"Santa Rosa",6,"Cuilapa",1,975,400,9,12,24,13,26,3,0,56,0,2,4,1,3,4,1,1,1,3,0,2,9,1,175,48,5,228,0,228,--,400,172,175,228,228,Algún campo sin dato,1,9889d49a8e3c73f79e9b92141076a65988644f5671c44e89d54d48d5474ee5fe,25/06/2023 23:50:02,ESCANER
8346,"Santa Rosa",6,"Cuilapa",1,975,400,11,11,32,21,27,4,0,52,1,2,5,2,3,3,0,0,0,5,0,5,14,0,198,45,5,248,0,248,--,400,152,198,248,248,Algún campo sin dato,1,d8cc7df1f43d8701d235690e4bc150c2490041552b8dd8d5d9d9aca9184a5b1a,25/06/2023 22:42:07,ESCANER
8347,"Santa Rosa",6,"Cuilapa",1,975,400,15,13,15,10,26,3,2,51,1,4,9,2,4,3,9,0,2,6,1,7,7,1,191,52,0,243,0,243,--,400,157,191,243,243,Algún campo sin dato,1,a31fc0d24427213ce1cbccb6e0777d4e8d192ec8831b1717e392406a80aa598b,26/06/2023 04:01:12,ESCANER
8348,"Santa Rosa",6,"Cuilapa",1,975,400,8,12,17,10,28,2,1,66,0,1,5,3,1,8,0,2,3,1,0,5,5,3,181,30,4,215,0,215,--,400,185,181,215,215,Algún campo sin dato,1,7ff2eef04c6ff3306a42a2fd3782c55cbdd0927f79ebc1863536154a56706e0b,25/06/2023 23:17:24,ESCANER
8349,"Santa Rosa",6,"Cuilapa",1,975,400,10,11,12,11,31,4,0,56,0,1,3,2,1,5,1,3,1,0,0,7,8,1,168,27,4,199,0,199,--,400,201,168,199,199,Algún campo sin dato,1,65c67d7f78bef2616adcaf70aa95d2708d7326861be164a9f152e0d2c262cc40,26/06/2023 01:49:26,ESCANER
8350,"Santa Rosa",6,"Cuilapa",1,975,400,6,8,10,8,93,5,0,44,0,35,0,0,0,0,0,0,0,0,0,0,0,2,211,33,7,251,0,218,--,400,189,211,251,251,Sumas Asentadas sin cuadrar,1,90d2bb542b49d17b8f3b890ec042f9f83c43865c53694bed4a287d9be8258686,25/06/2023 23:12:22,ESCANER
8351,"Santa Rosa",6,"Cuilapa",1,975,400,6,4,16,17,31,5,1,64,1,4,9,2,5,4,0,1,0,1,2,3,27,0,203,27,3,233,0,233,--,400,167,203,233,233,Algún campo sin dato,1,32b6215a9a9dcee79114dd365d525a6191148704bbf7d5e62a5945c1b385bef3,25/06/2023 23:51:03,ESCANER
8352,"Santa Rosa",6,"Cuilapa",1,975,400,15,10,21,14,30,14,0,51,0,1,1,6,7,6,1,0,1,2,2,2,20,1,205,23,4,232,0,232,--,400,168,205,232,232,Algún campo sin dato,1,a5915b462c3094222d510f688eb670fbab138a3a76e9eb57de4c64a75287a584,26/06/2023 01:21:25,ESCANER
