TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
706,706,100.0000,704,99.7167,2,261831,198899,75.9646

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,TODOS,WINAQ,CABAL,UNE,P A N,VICTORIA,VAMOS,PIN,PHG,CREO,VALOR UNIONISTA,MLP,ELEFANTE,UR,CAMBIO,PODEMOS,SEMILLA,FCN-NACION,VIVA,VOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9043,"Sololá",7,"Sololá",1,1103,400,88,5,12,2,50,0,6,28,0,9,3,1,0,1,1,0,0,10,4,10,7,2,239,37,26,302,0,302,--,400,98,239,302,302,Algún campo sin dato,1,f3fc581234c40d57e93ef205be63a85a3417941351e4286a145974b712968ab4,25/06/2023 22:55:28,ESCANER
9044,"Sololá",7,"Sololá",1,1103,400,108,1,8,6,51,1,2,31,0,2,2,1,3,5,2,0,2,5,1,5,2,0,238,38,24,300,0,300,--,400,100,238,300,300,Algún campo sin dato,1,403e37175eabea9b1fb57e210fb1f413d471b091b36be648709d4a53da0656ed,26/06/2023 02:58:58,ESCANER
9045,"Sololá",7,"Sololá",1,1103,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,11225487d89d72dd43ca70209c296b5137dccbebb17e1008601f22f80b31dd2b,26/06/2023 05:04:04,ESCANER
9046,"Sololá",7,"Sololá",1,1103,400,116,3,11,10,33,3,2,29,0,10,0,2,1,6,1,0,3,9,2,8,1,3,253,32,30,315,0,315,--,400,85,253,315,315,Algún campo sin dato,1,7610b9e34c96e4de92d4ad5f3e5ee5f5df412c387417a6bf6be6b35212d5f8ba,26/06/2023 03:01:53,ESCANER
9047,"Sololá",7,"Sololá",1,1103,400,103,2,13,8,43,0,2,36,2,6,2,7,1,3,0,1,0,12,1,9,4,3,258,43,27,328,0,328,--,400,72,258,328,328,Algún campo sin dato,1,7c54b2bdd3019036372be606c88db66766655159d7d3869dad92042937396ee0,26/06/2023 03:02:55,ESCANER
9048,"Sololá",7,"Sololá",1,1103,400,80,4,16,3,46,0,2,30,2,15,5,6,1,5,1,0,1,12,3,7,4,1,244,53,12,309,0,309,--,400,91,244,309,309,Algún campo sin dato,1,5fb99c8e64800fac2cbcf06fe7b0dbb087aedfe95f4cc7ec8ac0f5db0cbc5578,26/06/2023 03:46:56,ESCANER
9049,"Sololá",7,"Sololá",1,1103,400,87,1,10,3,39,1,4,29,0,13,3,7,1,7,0,1,2,10,1,2,7,2,230,44,16,290,0,290,--,400,110,230,290,290,Algún campo sin dato,1,8304d39cb204d554aed6e56f7d70c136181a407fd08504d8775208469be0892e,26/06/2023 00:24:01,ESCANER
9050,"Sololá",7,"Sololá",1,1103,400,89,1,18,5,41,1,0,26,1,10,2,3,0,4,0,0,1,11,2,18,3,0,236,40,14,290,0,290,--,400,110,236,290,290,Algún campo sin dato,1,812840bd3934d006c16d91a38768f5c4a34728e4f2ff6428be52ff9f9b67a708,26/06/2023 01:03:45,ESCANER
9051,"Sololá",7,"Sololá",1,1103,400,66,3,15,7,58,1,1,23,0,14,1,3,0,7,1,1,2,12,0,6,9,1,231,33,17,281,0,281,--,400,119,231,281,281,Algún campo sin dato,1,3c14c121ab5281f717e4e9bdbbc2ff9df0f0ddfa77bf53910f314cd7498afbeb,26/06/2023 00:05:31,ESCANER
9052,"Sololá",7,"Sololá",1,1103,400,90,7,13,6,50,1,0,20,0,9,1,7,0,8,1,0,1,11,1,11,5,1,243,56,10,309,0,309,--,400,91,243,309,309,Algún campo sin dato,1,f696f2f5b658434f2a52137df226a5c1e012e4bc36b2a66ed34be939ccbae6b8,26/06/2023 03:45:18,ESCANER
9053,"Sololá",7,"Sololá",1,1103,400,78,4,16,6,42,1,4,22,0,9,2,3,3,6,1,0,1,24,1,7,3,0,233,44,18,295,0,295,--,400,105,233,295,295,Algún campo sin dato,1,79f9cfb432c4cac6a188d22bbde48799db7025c205c55fddc2b0a26c9313e231,25/06/2023 23:25:35,ESCANER
9054,"Sololá",7,"Sololá",1,1103,400,85,2,9,7,47,0,6,26,0,9,2,3,4,6,1,0,2,8,5,11,6,1,240,41,15,296,0,296,--,400,104,240,296,296,Algún campo sin dato,1,903fc043829c91a731451f81f5e9269669381cc0bb990e7ec625175b000a97a0,26/06/2023 03:09:57,ESCANER
