TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
866,832,96.0739,829,95.7274,3,314283,202373,64.3919

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,AZUL,CABAL,VALOR,MLP,UNE,P A N,VICTORIA,TODOS,VAMOS,ELEFANTE,PHG,PPN,MI FAMILIA,BIEN,PR,U R N G - MAIZ,PODEMOS,CREO,FCN-NACION,CAMBIO,UR,VOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11727,"Suchitepéquez",10,"Mazatenango",1,1577,400,8,7,10,15,4,15,1,13,38,13,8,2,2,0,8,0,3,2,0,2,6,1,12,27,197,53,0,250,0,250,--,400,150,197,250,250,Algún campo sin dato,1,4a036337d3b2557064d6a1e765848ea23fd484d7448928c7d81538c191aa0b26,26/06/2023 02:59:07,ESCANER
11728,"Suchitepéquez",10,"Mazatenango",1,1577,400,11,6,10,15,4,16,1,13,33,7,14,2,4,2,8,1,5,1,0,2,4,0,16,19,194,54,8,256,1,257,1,400,143,194,256,257,,1,51ba8f86f0d823fb085c8f9bc9d49596c14009235d6736d102d6d955c8fb0d43,26/06/2023 01:39:18,ESCANER
11729,"Suchitepéquez",10,"Mazatenango",1,1577,400,11,2,19,14,7,4,2,16,33,10,14,7,8,0,13,0,3,4,0,6,4,2,7,25,211,52,4,267,0,267,--,400,133,211,267,267,Algún campo sin dato,1,e48726717fc77f5e9f8132b8576a3c420a96c678159a0ab776df85c43f7df376,26/06/2023 02:03:00,ESCANER
11730,"Suchitepéquez",10,"Mazatenango",1,1577,400,5,5,15,14,1,11,0,12,31,19,17,7,7,0,11,0,5,6,0,0,1,1,12,36,216,55,4,275,0,275,--,400,125,216,275,275,Algún campo sin dato,1,12f851a2a2f6ac47c610c1dd5d50b3f42b56b7f5e7dbb41ce3738f408dbb52c1,26/06/2023 01:36:10,ESCANER
11731,"Suchitepéquez",10,"Mazatenango",1,1577,400,11,2,22,12,5,18,3,9,43,14,18,6,7,0,8,0,2,6,2,1,5,1,8,35,238,49,2,289,0,289,--,400,111,238,289,289,Algún campo sin dato,1,2f3933436a34f0b909eacedb33e56fd1c681d71b649924be83a0954613587178,26/06/2023 03:00:53,ESCANER
11732,"Suchitepéquez",10,"Mazatenango",1,1577,400,6,3,10,16,5,10,1,17,30,16,12,9,5,1,8,0,27,5,0,0,0,0,10,21,198,5,5,243,0,243,--,393,149,212,222,222,Sumas Asentadas sin cuadrar,1,511744d60f83c2ba434e8c5fbaf790cf17c0cc4807ac022fc8da4586ae6ea390,26/06/2023 03:41:07,ESCANER
11733,"Suchitepéquez",10,"Mazatenango",1,1577,400,10,4,14,14,4,8,0,10,26,11,7,8,8,0,10,1,3,3,1,0,8,0,10,19,179,47,4,230,0,230,3,400,164,179,230,230,,1,ab5c6a221f4cbabaa40d8cd91af7b13159609ac3f0bfc6fad8f46022fab16b14,26/06/2023 03:54:04,ESCANER
11734,"Suchitepéquez",10,"Mazatenango",1,1577,400,9,4,17,17,6,20,2,19,36,9,19,8,6,4,8,0,3,2,0,1,8,0,9,27,234,33,4,271,0,271,--,400,129,234,271,271,Algún campo sin dato,1,0935e0aecada028111f8fbdff3ce93ce96dbc3b14abc84f09651a8ef9d11269f,26/06/2023 03:36:36,ESCANER
11735,"Suchitepéquez",10,"Mazatenango",1,1577,400,8,5,21,11,3,11,0,17,31,9,14,7,14,1,8,0,5,4,0,1,5,2,10,17,204,33,2,239,0,239,--,400,161,204,239,239,Algún campo sin dato,1,607045ae0abe7f0c83c57048b91e6edb45e4873eaac71ed9529a92513d781086,26/06/2023 02:39:59,ESCANER
11736,"Suchitepéquez",10,"Mazatenango",1,1577,400,10,2,10,17,4,15,2,11,31,13,11,5,8,2,9,0,9,2,1,1,6,0,7,23,199,36,4,239,0,239,--,399,160,199,239,239,Algún campo sin dato,1,40c2461ade64f981c8063bdea107fcfda8cf81115718890b81752776e6cc5882,26/06/2023 00:14:16,ESCANER
