TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
538,495,92.0074,495,92.0074,0,188002,115439,61.4030

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,PIN,VALOR,MLP,UNE,VICTORIA,ELEFANTE,WINAQ,VAMOS,U R N G - MAIZ,PPN,TODOS,CREO,BIEN,CAMBIO,PHG,PODEMOS,FCN-NACION,VIVA,PR,MI FAMILIA,UR,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12593,"Retalhuleu",11,"Retalhuleu",1,1722,400,46,2,1,79,13,4,0,1,4,22,1,9,0,1,32,0,0,0,0,8,1,2,0,15,241,26,4,271,0,271,--,400,129,241,271,271,Algún campo sin dato,1,8c0f13931d2be7cc9f62ad65ce81107a696c78e3ca7606d85996f3a14ff7a4bd,26/06/2023 01:44:23,ESCANER
12594,"Retalhuleu",11,"Retalhuleu",1,1722,400,48,3,6,81,11,6,0,0,0,20,0,14,0,1,38,0,0,2,0,9,1,2,1,19,262,28,13,303,0,303,--,400,97,262,303,303,Algún campo sin dato,1,098387b475b93da3d63960ecbaae402ccd0923fb0f537434264b69d131e71c95,26/06/2023 01:40:29,ESCANER
12595,"Retalhuleu",11,"Retalhuleu",1,1722,400,37,4,3,81,10,7,0,0,2,14,4,11,0,0,38,0,1,2,0,7,1,0,1,21,244,31,6,281,0,281,--,400,119,244,281,281,Algún campo sin dato,1,b9220f0df7771a2645075313afd2e3e6551b44228669a72a6b2821dbf386fb55,26/06/2023 01:18:17,ESCANER
12596,"Retalhuleu",11,"Retalhuleu",1,1722,400,57,4,2,55,6,4,1,3,3,20,5,5,2,1,44,0,0,2,1,14,0,1,1,23,254,25,4,283,0,283,--,400,117,254,283,283,Algún campo sin dato,1,b0ba4bc5f2d04fbe94b2689e159e89cb0edbc979fde1216fb39647e857292697,26/06/2023 02:10:49,ESCANER
12597,"Retalhuleu",11,"Retalhuleu",1,1722,400,62,4,2,72,4,4,2,3,2,19,3,8,2,1,32,1,0,2,0,10,1,1,0,19,254,28,8,290,0,290,--,400,110,254,290,290,Algún campo sin dato,1,7ba7e86c1715b4317405a7e88aba6126d4339616df3fb5ccce176c55fbda8d60,26/06/2023 01:07:32,ESCANER
12598,"Retalhuleu",11,"Retalhuleu",1,1722,400,58,4,1,87,3,5,0,3,3,19,3,13,0,1,39,0,1,1,1,9,1,2,2,16,272,22,5,299,18,317,1,--,--,272,299,317,Algún campo sin dato,1,5776a05b22eed6d224c87acd8b0b3baf7b6f0481ae282568a17db6dc964fb52d,26/06/2023 01:59:39,ESCANER
12599,"Retalhuleu",11,"Retalhuleu",1,1722,400,47,4,9,64,4,3,0,0,3,24,6,13,2,1,43,0,0,1,1,16,1,1,3,26,272,19,2,293,0,293,--,400,107,272,293,293,Algún campo sin dato,1,6005d52b607e312a7c42e9f55ac893084a21d4856aa2bb25b4770507da86c875,26/06/2023 01:12:23,ESCANER
12600,"Retalhuleu",11,"Retalhuleu",1,1722,400,56,2,2,75,8,1,0,1,9,14,4,10,1,0,37,0,0,1,4,10,1,1,1,23,261,28,8,297,0,297,--,368,71,261,297,297,Algún campo sin dato,1,159821cbda7c530f8408bb428af751be312dd98c2d9a9b9cc6aeb5528b29a636,26/06/2023 02:37:55,ESCANER
12601,"Retalhuleu",11,"Retalhuleu",1,1722,400,49,3,3,84,5,3,1,4,7,13,8,11,1,0,36,0,0,0,2,10,2,1,0,15,258,38,6,302,--,302,--,400,98,258,302,302,Algún campo sin dato,1,168daa088f0ba849737acdeaa7b0d7fa33af2b78c1949fb49291b734a6f038fc,26/06/2023 02:50:37,ESCANER
12602,"Retalhuleu",11,"Retalhuleu",1,1722,400,46,2,1,77,7,1,1,0,5,24,3,4,0,0,23,0,0,2,0,8,0,0,0,23,227,12,1,240,3,243,--,400,157,227,240,243,Algún campo sin dato,1,8dd73785da4293f72232aea252a5c74d4bc966b3f19938336f051292e7b104dd,25/06/2023 23:41:40,ESCANER
12603,"Retalhuleu",11,"Retalhuleu",1,1722,400,39,3,2,90,13,3,0,0,2,20,6,17,1,1,23,0,0,0,0,6,1,3,2,12,244,24,13,281,0,281,--,400,129,244,281,281,Algún campo sin dato,1,991fb4ac97976af374378f6d3fc336eb22b55c231fedb406fbec81adb2e43bdc,26/06/2023 03:14:37,ESCANER
12604,"Retalhuleu",11,"Retalhuleu",1,1723,400,55,4,2,68,7,5,0,1,4,21,7,10,2,1,30,0,0,0,2,8,0,0,2,16,245,24,7,276,0,276,--,400,124,245,276,276,Algún campo sin dato,1,af46ee0cb621ab396cabaf3edf1af7001ff91475e26bf41383539acc173d5f9f,25/06/2023 23:38:39,ESCANER
12605,"Retalhuleu",11,"Retalhuleu",1,1723,400,43,3,3,76,7,2,0,1,3,19,4,7,1,0,28,0,1,1,2,5,2,1,2,22,233,23,5,261,0,261,--,400,139,233,261,261,Algún campo sin dato,1,d30c5cd59dd88d220fa107b1fd9cad865f9411c6729d47209cf9fbec231a2d23,26/06/2023 03:28:23,ESCANER
12606,"Retalhuleu",11,"Retalhuleu",1,1723,400,48,3,5,71,2,4,1,1,2,16,4,14,3,1,40,0,0,0,2,10,1,1,2,16,247,28,0,275,0,275,--,400,125,247,275,275,Algún campo sin dato,1,771d14b601a25ae057ff0d71ebcbdc4e448aac8a9372dbe58e3cdf054a00f2cb,26/06/2023 01:45:34,ESCANER
12607,"Retalhuleu",11,"Retalhuleu",1,1723,400,64,4,3,72,4,5,1,1,3,16,3,11,1,0,23,0,0,0,1,11,1,1,1,17,243,4,26,273,0,273,400,400,127,243,273,273,,1,2e5d37a3b30a1dface8bd935a63a88412efd2b1c1d8437cf22d357a770d66012,26/06/2023 00:38:19,ESCANER
12608,"Retalhuleu",11,"Retalhuleu",1,1723,400,52,2,2,59,7,1,1,0,5,10,5,10,4,0,36,0,0,2,1,5,1,0,5,16,224,23,6,253,0,253,1,400,147,224,253,253,,1,d8a092210bc68609589eacfa265b8fdbe46a2c53df412381d37ecc7aafb8343a,26/06/2023 03:43:11,ESCANER
12609,"Retalhuleu",11,"Retalhuleu",1,1723,400,56,3,2,62,7,4,1,2,2,21,3,9,2,0,36,0,0,0,0,8,1,1,0,12,232,20,2,254,1,255,1,400,145,232,254,255,,1,fc0fccee93c7b3ff82a1e146477976ccfd2146688d2f01fade138fd483fb90d6,26/06/2023 01:22:21,ESCANER
12610,"Retalhuleu",11,"Retalhuleu",1,1723,400,41,2,3,62,7,1,2,1,3,20,4,15,2,0,35,0,1,0,0,5,1,0,0,20,225,11,3,239,0,239,--,400,161,225,239,239,Algún campo sin dato,1,4e5547d8ec15be261b884daea7b815da68aba26a4693314423d30cd1e5cb3685,25/06/2023 23:02:48,ESCANER
12611,"Retalhuleu",11,"Retalhuleu",1,1723,400,36,1,2,77,5,2,0,1,1,12,1,4,1,0,36,1,0,1,0,2,1,1,2,24,211,8,3,222,0,222,--,400,178,211,222,222,Algún campo sin dato,1,0bed67fd93b426ca4c815a831c0ab0e3b5f0bcc41b90159f33597d9e6db28ea7,25/06/2023 22:56:20,ESCANER
12612,"Retalhuleu",11,"Retalhuleu",1,1723,400,54,1,1,76,6,3,1,0,3,19,4,4,1,0,38,1,1,2,0,5,2,0,3,28,253,16,3,272,0,272,1,400,128,253,272,272,,1,19c6b2688148bffee378da0cb197aa092a8f96c1a3f96d51b9f0a61cde61af53,25/06/2023 23:48:59,ESCANER
12613,"Retalhuleu",11,"Retalhuleu",1,1723,358,37,0,1,85,8,1,0,0,2,13,4,10,2,0,28,0,0,1,1,6,1,1,1,13,215,6,0,221,0,221,--,358,137,215,221,221,Algún campo sin dato,1,ae1d70cc51658c93ce9485f5350d5290e528ee07adb77bc384956665c4dd9d70,25/06/2023 23:56:33,ESCANER
12614,"Retalhuleu",11,"Retalhuleu",1,1723,358,26,3,2,58,3,2,--,--,1,12,2,4,2,1,22,--,1,--,--,2,--,--,--,13,154,7,2,163,--,163,--,358,195,154,163,163,Algún campo sin dato,1,ddcbfcafe99f7a4890e2abc60d64ba067381d295766077dd2d7d6171a682cfc6,26/06/2023 00:34:51,ESCANER
12615,"Retalhuleu",11,"Retalhuleu",1,1724,400,60,4,4,68,2,2,0,2,2,20,4,5,0,0,32,0,1,2,1,6,1,1,2,14,233,33,7,273,0,273,--,400,127,233,273,273,Algún campo sin dato,1,526ff142182a09c0a1dd96d93592fc421ba45df676faf61b0fdce65bee841012,26/06/2023 00:15:53,ESCANER
12616,"Retalhuleu",11,"Retalhuleu",1,1724,400,63,7,0,93,3,2,1,1,3,11,1,7,1,0,36,0,2,0,1,6,0,1,0,15,254,34,5,293,0,293,--,400,107,254,293,293,Algún campo sin dato,1,842319ad708b94379b842d75d6c3df6ecafa3d340cee67c2192d28456e2a0b71,26/06/2023 00:34:59,ESCANER
12617,"Retalhuleu",11,"Retalhuleu",1,1724,400,74,2,5,52,3,3,0,0,4,10,6,7,4,2,23,0,1,0,1,4,0,2,0,34,237,31,1,269,0,269,--,400,131,237,269,269,Algún campo sin dato,1,55fb694283c24d6dfbb6eb0a857f9ae5eb788c6672c8b62b76fe564aaf995f32,26/06/2023 02:18:48,ESCANER
12618,"Retalhuleu",11,"Retalhuleu",1,1724,400,61,5,2,62,2,2,0,1,5,19,0,4,3,0,24,0,2,0,2,7,1,2,2,17,223,20,1,244,0,244,--,400,156,223,244,244,Algún campo sin dato,1,bed8dcaf5097d9960e60e266f2fc1f88cb965aca8500b72116699d1402e54819,26/06/2023 01:11:17,ESCANER
12619,"Retalhuleu",11,"Retalhuleu",1,1724,400,63,3,2,55,2,4,1,2,1,12,4,7,3,0,28,1,0,0,2,3,2,0,4,24,223,23,3,249,0,249,--,400,151,223,249,249,Algún campo sin dato,1,563b5e9df249af6e9b1c82a55bd22581a84decf3856e7eb72500a734d6270290,26/06/2023 00:03:43,ESCANER
12620,"Retalhuleu",11,"Retalhuleu",1,1724,400,54,2,1,52,3,2,2,0,4,13,1,9,3,2,30,0,0,0,0,3,1,0,1,20,203,20,4,227,1,228,1,396,168,203,227,228,,1,4fe8ae2d18d6ebf94924b369085a227a1dfb5b5c6787041f8143791460157871,26/06/2023 02:08:37,ESCANER
12621,"Retalhuleu",11,"Retalhuleu",1,1724,323,50,4,1,33,0,1,0,1,3,17,1,4,2,0,25,0,1,0,0,7,0,1,1,18,170,12,0,182,0,182,0,320,138,170,182,182,,1,4587f6cd8ba77840dbef7f2caa9f4261b12f9fde8a2e286e7dda0220d9b5f0b5,25/06/2023 22:50:55,ESCANER
12622,"Retalhuleu",11,"Retalhuleu",1,1724,323,21,0,1,52,0,1,0,0,1,16,2,7,2,1,17,0,1,0,2,1,0,0,4,16,145,15,2,162,0,162,--,320,158,145,162,162,Algún campo sin dato,1,873428911a154e700aa0530869436481a6ef08719e277ed2b9269f0c4d7a2f54,26/06/2023 00:23:32,ESCANER
12623,"Retalhuleu",11,"Retalhuleu",1,1725,400,51,3,3,77,3,5,1,0,1,28,1,6,0,0,46,0,0,0,0,7,0,2,0,7,241,32,11,284,1,285,--,400,115,241,284,285,Algún campo sin dato,1,c63fc3fa8a74644b3f92abc605034d2155068dbbe5a153d9621777cc6d66e745,26/06/2023 02:55:40,ESCANER
