TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
1444,1432,99.1689,1428,98.8919,4,528945,339025,64.0945

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VALOR UNIONISTA,TODOS,AZUL,VICTORIA,VAMOS,PIN,ELEFANTE,MLP,P A N,PPN,CABAL,WINAQ,BIEN,FCN-NACION,PHG,CREO,UR,PODEMOS,PR,U R N G - MAIZ,CAMBIO,MI FAMILIA,VIVA,VOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16690,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,23,6,5,4,1,37,0,0,5,0,4,11,13,2,0,6,2,2,3,6,11,0,2,25,16,33,217,53,8,278,1,279,--,400,121,217,278,279,Algún campo sin dato,1,dd9cbfc2cc0f83883502975579d7f1463c55b92f4e0f933e8067694115469006,26/06/2023 01:27:25,ESCANER
16691,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,18,5,8,2,1,16,0,2,9,0,8,21,12,2,2,10,3,2,3,2,10,0,1,17,16,24,194,58,8,260,137,397,--,397,137,194,260,397,Algún campo sin dato,1,c003bff30cc4e21201e1dd5f80e7c16c8b967828b3b4354bcc877f82d0ff7cf4,26/06/2023 00:45:09,ESCANER
16692,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,28,14,3,3,0,19,1,1,9,1,5,19,15,3,1,11,4,4,6,10,9,1,0,24,14,20,225,63,3,291,0,291,--,397,106,225,291,291,Algún campo sin dato,1,2132c337c56577c954494ce2604a1835b94dbcbe462bb40e9660277adf1d8171,26/06/2023 01:12:51,ESCANER
16693,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,18,7,2,3,4,16,0,1,6,1,5,10,11,3,2,8,7,2,0,3,8,1,1,20,23,32,194,48,7,249,0,249,--,400,151,194,249,249,Algún campo sin dato,1,71aec98f0501aa01df14ea2081643bcdeb0dc0b924758afc768031d5210ef073,25/06/2023 22:42:04,ESCANER
16694,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,21,10,2,1,1,18,1,2,11,1,3,12,6,4,0,12,4,2,1,7,7,2,1,21,30,26,206,47,7,260,0,260,--,400,140,206,260,260,Algún campo sin dato,1,db041f604c0c1d86bf78e4b9f9173b452a01f0ef9d1be64d9b54f1ffaadbdf68,26/06/2023 00:18:50,ESCANER
16695,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,12,10,3,1,0,21,0,4,8,2,2,18,8,1,1,14,6,2,3,6,9,0,1,20,11,18,181,43,11,235,9,244,--,400,156,181,235,244,Algún campo sin dato,1,55585c3bfd9366f3652fb7134b90d120cd3b246542416b88b26cca210b312658,26/06/2023 04:38:52,ESCANER
16696,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,14,12,4,3,0,20,0,1,8,0,0,8,6,0,0,7,7,1,1,1,2,1,0,25,23,42,186,30,4,220,0,220,--,396,177,186,220,220,Algún campo sin dato,1,a8b6242c7973d13336fba3a14eea9e49eea614e5bb53e4cedb00c1b028e05254,26/06/2023 00:34:45,ESCANER
16697,"Quiché",14,"Santa Cruz Del Quiché",1,2499,242,6,6,1,2,0,11,1,0,8,0,0,3,5,1,0,6,6,0,0,3,2,0,0,9,11,43,124,17,2,143,0,143,--,242,99,124,143,143,Algún campo sin dato,1,edbbc32f12cb79ac104281deeb30ff8822e90a77a4fb59d4a6a81879e2164196,25/06/2023 21:38:36,ESCANER
16698,"Quiché",14,"Santa Cruz Del Quiché",1,2499,242,5,4,0,0,0,10,0,1,4,0,2,5,3,0,0,1,2,1,0,1,2,1,0,8,5,35,90,11,2,103,0,103,--,242,139,90,103,103,Algún campo sin dato,1,566ced3129f6a59d075e13b3cf36d20acdf62bddecedceb6fec63a4fab863e29,25/06/2023 21:55:53,ESCANER
16699,"Quiché",14,"Santa Cruz Del Quiché",1,2500,400,26,3,3,3,1,67,1,1,5,3,1,15,5,0,0,6,2,1,0,0,6,0,1,17,14,14,195,37,15,247,0,247,--,400,153,195,247,247,Algún campo sin dato,1,980741815c843ffb9b0cf258a7ffc42add6e793bf6b5d99263fd679d5bee1185,25/06/2023 21:20:32,ESCANER
16700,"Quiché",14,"Santa Cruz Del Quiché",1,2500,400,13,10,3,2,1,52,1,4,2,2,5,21,5,3,1,6,3,4,2,3,8,0,1,22,20,23,217,45,13,275,0,275,--,346,121,217,275,275,Algún campo sin dato,1,c9fa8ca092b1de8f421ce07dd775155ed73b1d16ec157dbbb978cb4b816b26fa,26/06/2023 04:49:02,ESCANER
16701,"Quiché",14,"Santa Cruz Del Quiché",1,2500,400,16,8,4,1,1,37,1,1,5,1,9,15,10,2,0,5,4,2,2,2,9,0,3,21,23,19,202,46,13,261,0,261,--,400,139,201,260,260,Sumas Asentadas sin cuadrar,1,a55a832458191fdd17acf79e8a38289c99314686f64918133da1500c861da8c8,26/06/2023 03:18:25,ESCANER
16702,"Quiché",14,"Santa Cruz Del Quiché",1,2500,400,29,3,0,3,4,42,0,2,7,2,1,29,11,1,1,2,8,4,0,1,11,0,0,24,18,21,224,63,9,296,0,296,--,297,101,224,296,296,Algún campo sin dato,1,3ef8605358e990d88ebae06ff85b172247043359f0909bfb9b37a8b37161d697,26/06/2023 00:41:22,ESCANER
16703,"Quiché",14,"Santa Cruz Del Quiché",1,2501,400,22,12,3,4,2,34,1,0,8,0,2,17,7,0,1,5,4,3,5,3,12,0,2,35,24,27,233,56,12,301,0,301,--,402,101,233,301,301,Algún campo sin dato,1,506544030822239a66b7a5075d25810d52478dd58688249ce10df40b7f2168b5,25/06/2023 22:11:41,ESCANER
16704,"Quiché",14,"Santa Cruz Del Quiché",1,2501,400,16,2,2,1,2,43,0,1,8,0,2,8,5,1,2,3,3,2,0,4,11,0,2,18,17,25,178,48,7,233,0,233,--,399,166,178,233,233,Algún campo sin dato,1,e2f2a75716ff713470a0bbed56e5e962aa6e13c5aa44c7bfadcbed085ec5693b,25/06/2023 23:53:14,ESCANER
16705,"Quiché",14,"Santa Cruz Del Quiché",1,2501,400,26,6,2,2,0,47,1,2,4,1,4,7,4,1,0,4,12,4,1,0,10,0,1,26,21,17,203,38,15,256,0,256,--,400,144,203,256,256,Algún campo sin dato,1,056a78f80a71bdb990ed1779c9938f4073c2a47064ed00fbd13a47b1e81249d1,26/06/2023 00:25:28,ESCANER
16706,"Quiché",14,"Santa Cruz Del Quiché",1,2501,400,25,11,2,2,3,47,1,1,4,1,2,11,5,1,0,7,5,3,1,2,4,1,2,23,18,27,209,44,14,267,0,267,--,400,133,209,267,267,Algún campo sin dato,1,325a6ee61c37cad5b2dc1be1b7a0f5fdb84ec9e8d9163ce64b346ce924e56c84,26/06/2023 01:29:33,ESCANER
16707,"Quiché",14,"Santa Cruz Del Quiché",1,2501,400,22,7,2,1,3,51,0,3,6,0,4,8,6,2,0,2,8,3,0,1,8,0,0,19,23,23,202,45,12,259,0,259,--,400,141,202,259,259,Algún campo sin dato,1,c81d8c424a64d1f2629497b87fdb31c984da76a9dde40a4514102252861560bd,25/06/2023 23:08:45,ESCANER
16708,"Quiché",14,"Santa Cruz Del Quiché",1,2501,400,19,4,3,0,1,53,0,2,9,1,6,14,2,3,0,5,4,3,2,1,8,1,2,23,16,12,194,34,16,244,0,244,--,400,156,194,244,244,Algún campo sin dato,1,3726e8161fe91f8ae959322e859ec41e0ff32089bb9424382597b0bc4be6c96b,26/06/2023 00:56:32,ESCANER
16709,"Quiché",14,"Santa Cruz Del Quiché",1,2502,400,25,3,4,2,0,47,0,2,9,2,3,13,6,1,1,5,5,3,2,3,5,0,1,16,20,21,199,27,12,238,0,238,--,400,162,199,238,238,Algún campo sin dato,1,7a09392489aa2e6183d05fc82ad5ef9b1098a854b878bcd56e31c6260b0ddd63,26/06/2023 00:52:07,ESCANER
16710,"Quiché",14,"Santa Cruz Del Quiché",1,2502,400,19,8,2,2,0,28,0,2,4,1,3,15,11,1,1,10,6,3,1,2,7,0,0,19,20,35,200,24,5,200,0,229,0,400,171,200,229,229,Sumas Asentadas sin cuadrar,1,044661f00dcf85d7f63e6b8ba7759312db5007ae6f12deddcc170b246f021ff2,26/06/2023 02:48:44,ESCANER
16711,"Quiché",14,"Santa Cruz Del Quiché",1,2502,400,12,12,1,1,0,39,0,2,7,0,1,10,1,1,0,2,4,4,0,1,3,0,3,21,16,58,199,32,4,235,0,235,--,400,165,199,235,235,Algún campo sin dato,1,2cf0fb8f4a0d2c207ae1efea2ada170e5b9c6cd25dfb021e39525c6b01724c27,25/06/2023 22:32:34,ESCANER
