TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
877,877,100.0000,875,99.7719,2,324499,174813,53.8716

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,PHG,TODOS,VALOR UNIONISTA,CABAL,UNE,URNG-MAIZ WINAQ,VAMOS,PIN,ELEFANTE,PPN,MLP,AZUL,BIEN,VICTORIA,UR,P A N,PODEMOS,MI FAMILIA,CAMBIO,FCN-NACION,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20339,"Petén",17,"Flores",1,3166,400,9,8,13,11,6,85,2,13,1,0,4,2,3,25,1,0,0,2,1,14,0,10,210,55,6,271,0,271,--,396,125,210,271,271,Algún campo sin dato,1,66f43d18aa5b2f83b4347f900c7d805d08573da8195c119c90c4e9cfccabad33,26/06/2023 00:33:27,ESCANER
20340,"Petén",17,"Flores",1,3166,327,7,4,6,12,8,36,0,15,1,0,8,2,2,16,0,1,0,1,2,17,0,26,164,39,3,206,0,206,--,--,--,164,206,206,Algún campo sin dato,1,b60f8fae57f067f8e94d05e2a2be2883ce3fd91fc85ea26cb27872cd411c7658,25/06/2023 22:42:24,ESCANER
20341,"Petén",17,"Flores",1,3166,326,7,7,12,8,5,23,1,15,3,0,5,3,2,24,1,1,0,1,0,15,0,38,171,24,5,200,0,200,--,326,126,171,200,200,Algún campo sin dato,1,99b8f6aa563481faa9cf4fc22ba07616d2c32a760b8f682f1576368e29db6a44,25/06/2023 22:05:07,ESCANER
20342,"Petén",17,"Flores",1,3167,341,11,0,4,14,24,41,3,19,0,0,13,0,2,18,1,0,0,0,0,33,0,6,189,43,12,244,0,244,--,341,97,189,244,244,Algún campo sin dato,1,e8a65b3adea77c915907aeb77b3e3a70489a0bd4d5321758a2126921cdd43ef7,26/06/2023 01:16:32,ESCANER
20343,"Petén",17,"Flores",1,3167,340,4,1,9,5,23,36,1,15,0,0,19,3,3,26,0,2,0,0,0,42,0,14,203,25,7,235,0,235,--,340,105,203,235,235,Algún campo sin dato,1,a1438ca47f8875e250b4060dff4a99ba130bdf81d01717a95c19bbd966e26926,26/06/2023 01:03:33,ESCANER
20344,"Petén",17,"Flores",1,3168,380,21,5,5,13,13,20,2,11,0,0,10,0,4,18,1,0,1,0,0,27,0,13,164,43,15,222,0,222,--,377,155,164,222,222,Algún campo sin dato,1,441ad68df2f952330788fa8bfb11804037fb9bf980ff39774f0d423a693548d3,26/06/2023 01:28:28,ESCANER
20345,"Petén",17,"Flores",1,3168,380,11,9,3,15,12,19,1,20,0,1,8,5,6,29,1,0,0,1,0,27,0,9,177,50,10,237,0,237,--,380,143,177,237,237,Algún campo sin dato,1,885c7ee7ed77c6a04bc910b0a739df1aa31dfe06185dd4db8486e710d209cc00,25/06/2023 22:52:22,ESCANER
20346,"Petén",17,"Flores",1,3168,380,11,5,0,16,12,15,6,17,1,0,6,1,4,29,0,1,0,0,1,24,0,18,167,51,16,234,0,234,--,377,143,167,234,234,Algún campo sin dato,1,ba76307877abc66ce430a364e71d7a6864a1ea64036501758619ede8bb6062c8,25/06/2023 23:36:11,ESCANER
20347,"Petén",17,"Flores",1,3168,380,12,9,3,21,11,20,2,14,0,0,16,1,1,22,0,0,0,0,1,29,0,14,176,59,8,243,0,243,--,378,135,176,243,243,Algún campo sin dato,1,5df7d6e703b8803485c7921ea81d1dc5e65411a26803b517caad387319b6c89d,26/06/2023 01:16:26,ESCANER
20348,"Petén",17,"Flores",1,3168,380,9,10,3,21,14,28,6,11,0,1,17,1,5,28,0,0,0,1,1,23,0,6,145,44,11,385,--,240,--,--,--,185,240,240,Sumas Asentadas sin cuadrar,1,700573424c43cc86f0f7ca4bdacb597faed3c164b4cfa79393b3be8b0662748f,26/06/2023 01:37:07,ESCANER
