TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
509,503,98.8212,503,98.8212,0,189734,108927,57.4103

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,BIEN,TODOS,CREO,PODEMOS,WINAQ,MLP,P A N,ELEFANTE,PPN,VAMOS,FCN-NACION,UNE,VICTORIA,UR,VIVA,VALOR,MI FAMILIA,PHG,CAMBIO,U R N G - MAIZ,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23056,"Jalapa",21,"Jalapa",1,3626,400,47,11,8,18,1,0,0,2,0,0,1,40,0,18,5,3,10,42,1,2,2,1,18,230,36,11,277,0,277,--,400,123,230,277,277,Algún campo sin dato,1,a20edfd721ca66676542d97cd8efb9dbad681506d517d0792ac5bdf6a538c35b,26/06/2023 01:48:30,ESCANER
23057,"Jalapa",21,"Jalapa",1,3626,400,41,21,7,17,2,1,2,0,2,0,3,19,0,18,2,8,5,50,0,3,1,3,22,227,31,4,262,6,268,--,400,132,227,262,268,Algún campo sin dato,1,7d717eba5d5da8d1d0af785f542f283a7ddd1d5e1983a6c085cacbf0faec2f7c,26/06/2023 01:14:29,ESCANER
23058,"Jalapa",21,"Jalapa",1,3626,400,38,4,7,20,5,0,0,1,2,1,1,29,1,22,7,12,8,46,3,1,4,1,15,228,36,4,268,0,268,--,400,132,228,268,268,Algún campo sin dato,1,4eabf995161ccf96afd759afd0846505d0b704952e54670c0f906f658d0a1b7f,25/06/2023 22:45:13,ESCANER
23059,"Jalapa",21,"Jalapa",1,3626,400,42,10,8,12,5,0,0,2,1,2,2,32,2,16,7,8,7,38,1,0,3,0,12,210,50,11,271,0,271,--,400,129,210,271,271,Algún campo sin dato,1,1af830561280187fcd5066a3ecc7f2ef491fe4aa2afc0e9ff6199e4306e1c393,26/06/2023 00:12:32,ESCANER
23060,"Jalapa",21,"Jalapa",1,3626,400,49,17,11,14,1,0,0,0,0,2,3,31,1,14,11,6,5,23,1,1,3,1,16,210,44,15,269,0,269,--,400,131,210,269,269,Algún campo sin dato,1,b202e580ab3146999667f8c47545a05c7ad76f0457f3d7611610bf12eb2b430b,26/06/2023 01:06:08,ESCANER
23061,"Jalapa",21,"Jalapa",1,3626,400,47,12,9,19,3,1,1,1,1,0,2,28,0,11,10,12,5,42,1,2,6,3,24,240,52,7,299,0,299,0,394,95,240,299,299,,1,59d08dc3a73a4ecfefaf282b0045133685884510820c089a3a2bd263104fc114,26/06/2023 02:55:06,ESCANER
23062,"Jalapa",21,"Jalapa",1,3626,400,52,14,6,12,5,0,1,0,1,0,1,33,1,15,9,4,5,38,1,2,2,2,17,221,20,6,247,0,247,--,400,153,221,247,247,Algún campo sin dato,1,f8b937433d0f09a1575b6c1596c0b227cc92e8d6141d42330e224f744c8eab22,26/06/2023 00:46:33,ESCANER
23063,"Jalapa",21,"Jalapa",1,3626,400,51,9,4,17,5,0,1,0,1,2,2,20,0,13,2,9,5,34,1,1,4,1,15,197,27,3,227,0,227,--,400,173,197,227,227,Algún campo sin dato,1,65829a14e713fc5b6a11cdc249716c6a233c6b539ee34e72a9c38c30278d972d,25/06/2023 23:59:12,ESCANER
23064,"Jalapa",21,"Jalapa",1,3626,400,34,7,4,17,2,0,2,0,0,1,4,30,0,14,7,9,9,34,0,2,1,0,16,193,28,10,231,0,231,--,400,169,193,231,231,Algún campo sin dato,1,1763db0614ab63fe28d33a83be98750435928295c6ba4cffd6350e41b9e180f5,25/06/2023 23:37:54,ESCANER
23065,"Jalapa",21,"Jalapa",1,3626,400,48,6,6,14,4,1,1,1,1,0,3,23,0,26,5,7,7,43,0,2,1,1,26,226,38,5,269,0,269,--,400,131,226,269,269,Algún campo sin dato,1,275c382b54e3678eb4ee43ca0a10964b8d31ac4ea7cfd912e4af31462c27ac03,26/06/2023 01:21:53,ESCANER
