TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
863,863,100.0000,862,99.8841,1,321074,196667,61.2528

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,AZUL,PHG,VALOR,CABAL,VICTORIA,TODOS,VAMOS,P A N,PPN,ELEFANTE,UR,UNE,MI FAMILIA,BIEN,FCN-NACION,VIVA,PODEMOS,CREO,UNIONISTA,CAMBIO,VOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23565,"Jutiapa",22,"Jutiapa",1,3702,400,1,14,4,9,15,1,11,11,1,1,1,2,7,0,3,0,3,1,0,0,3,2,0,90,25,14,129,0,129,--,399,270,90,129,129,Algún campo sin dato,1,eda3724d0f998219e5628de978755589e8aaacb17528ffc36b25c7ae591badf7,26/06/2023 00:15:24,ESCANER
23566,"Jutiapa",22,"Jutiapa",1,3702,400,1,14,6,7,9,3,17,7,0,1,2,4,8,1,2,0,2,0,0,1,2,4,0,91,24,7,122,0,122,--,400,278,91,122,122,Algún campo sin dato,1,7e50004eaaab15a8a3b926adb9307d6bfb082191fc1deefd77d59e848697d58c,26/06/2023 00:06:55,ESCANER
23567,"Jutiapa",22,"Jutiapa",1,3702,400,3,23,3,5,15,3,14,12,0,2,0,0,10,0,3,0,2,0,1,1,2,7,0,106,11,8,125,0,125,--,400,275,106,125,125,Algún campo sin dato,1,bed6ff05f030a03ba4113d4bffe1c484d610121956c064b4260b4fdbdc246afd,26/06/2023 04:13:06,ESCANER
23568,"Jutiapa",22,"Jutiapa",1,3702,400,6,10,0,9,17,1,8,9,2,1,1,1,9,0,4,1,3,0,0,1,2,2,0,87,23,12,122,0,122,0,400,278,87,122,122,,1,4eb2b897bc89d2907f650ba0ea45c54e4a40e5a4fc615ed25465e35a8cc78e96,26/06/2023 01:00:36,ESCANER
23569,"Jutiapa",22,"Jutiapa",1,3702,400,1,23,1,3,19,3,10,11,0,2,1,0,9,1,3,0,3,0,1,1,2,2,0,96,20,12,128,0,128,0,400,272,96,128,128,,1,f2f731de241b63beca23f11724957af1fea3959c2fc8ad74e3aafde69ecb9d8d,25/06/2023 23:37:07,ESCANER
23570,"Jutiapa",22,"Jutiapa",1,3702,400,2,23,2,2,8,2,7,10,1,2,5,1,8,0,1,1,3,1,0,1,2,4,0,86,26,13,125,0,125,--,400,275,86,125,125,Algún campo sin dato,1,3ec02316ffddcca56f6893798eaf3d742ccfed865678caa7e2344d0541833136,25/06/2023 23:22:20,ESCANER
23571,"Jutiapa",22,"Jutiapa",1,3702,400,1,20,4,10,14,0,8,21,1,1,0,2,6,0,5,0,1,0,0,2,7,1,2,106,20,8,134,0,134,--,400,266,106,134,134,Algún campo sin dato,1,987fd9053173b52c15e110cd8876718e64d2532c3c87609f478c0236496d4d2a,26/06/2023 02:11:51,ESCANER
23572,"Jutiapa",22,"Jutiapa",1,3702,400,3,16,1,8,10,5,10,23,0,1,2,2,12,0,5,2,3,0,0,1,4,6,2,116,34,14,164,0,164,--,400,236,116,164,164,Algún campo sin dato,1,3f957c9f2f2eb6826bdc12cba7a7d3ba404cabd1cb87f8f1845a4b973f151133,26/06/2023 03:43:02,ESCANER
23573,"Jutiapa",22,"Jutiapa",1,3702,400,3,19,5,11,15,6,13,18,2,1,2,0,8,0,2,2,3,0,0,2,3,2,0,117,18,16,151,0,151,--,400,249,117,151,151,Algún campo sin dato,1,4318dc63ec12f587727c99b8915d435428721ed1e897dbc4e3ddce7a7c712bd9,26/06/2023 01:09:30,ESCANER
23574,"Jutiapa",22,"Jutiapa",1,3702,400,0,17,4,5,11,3,12,9,0,0,2,1,12,0,5,1,2,1,0,0,5,4,0,94,25,5,124,0,124,--,400,276,94,124,124,Algún campo sin dato,1,32742801451909f427d934e13ce9fd66b7083fa93ffc458923c5a73639edbd8b,25/06/2023 22:12:46,ESCANER
23575,"Jutiapa",22,"Jutiapa",1,3703,400,5,13,2,8,10,1,13,7,1,1,1,2,11,1,4,0,1,0,1,2,7,3,0,94,14,10,118,0,118,--,400,282,94,118,118,Algún campo sin dato,1,9c39988672e2f90c133597e27c783ce9493300cd3fba97f728e1042c9d06339e,25/06/2023 22:35:57,ESCANER
23576,"Jutiapa",22,"Jutiapa",1,3703,400,2,16,3,4,5,0,7,6,0,3,3,2,5,1,1,0,3,0,0,1,2,1,0,65,16,5,86,0,86,--,400,314,65,86,86,Algún campo sin dato,1,0b40205c846abf4a8fb6111870e8ff3dea4414bcfe150eaa46d509a13565227a,25/06/2023 23:33:25,ESCANER
23577,"Jutiapa",22,"Jutiapa",1,3703,400,0,7,2,1,7,0,3,4,0,1,1,1,2,0,1,0,0,0,1,0,3,1,0,35,8,6,49,0,49,--,400,351,35,49,49,Algún campo sin dato,1,bbca7c4b706ded10a93e42f033b2e5f7148275565adc86078b8720da9153b7b6,25/06/2023 23:22:36,ESCANER
23578,"Jutiapa",22,"Jutiapa",1,3703,321,2,3,0,3,4,1,4,3,0,0,1,1,0,1,0,0,1,0,0,0,2,1,0,27,3,3,33,0,33,--,321,33,27,33,33,Algún campo sin dato,1,ab16ccd2b2044d42706be8986629f0ce3ff8ef91d92210579166cd5a377019ac,25/06/2023 23:09:21,ESCANER
23579,"Jutiapa",22,"Jutiapa",1,3703,321,0,4,0,1,1,1,4,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,15,1,0,16,0,16,--,318,302,15,16,16,Algún campo sin dato,1,720a9b97d7357bb77b59dc0ff346add32a84c6383dec46a2281aae4e1ae12075,25/06/2023 21:42:57,ESCANER
23580,"Jutiapa",22,"Jutiapa",1,3704,400,3,54,7,20,13,11,26,26,4,2,5,2,9,0,8,0,3,0,3,3,13,11,1,224,31,9,264,0,264,--,400,136,224,264,264,Algún campo sin dato,1,b1cd8c6665e77598394bf3d61be8e683ca4523ddd02bc9823aa732d73f7a1eec,26/06/2023 00:35:09,ESCANER
23581,"Jutiapa",22,"Jutiapa",1,3704,400,3,43,1,17,17,4,30,31,1,1,3,5,13,2,7,1,4,2,2,3,6,9,0,205,42,7,254,0,254,--,400,142,205,254,254,Algún campo sin dato,1,c7a625b22467f3b741c0694c4868356e00b36e37433c9198a3d921e13c52ede8,26/06/2023 00:25:37,ESCANER
23582,"Jutiapa",22,"Jutiapa",1,3704,400,7,43,5,27,25,7,24,30,0,1,5,1,11,2,6,1,8,0,0,0,16,6,0,219,37,7,44,7,270,--,400,130,225,269,276,Sumas Asentadas sin cuadrar,1,7d4f49da59ebe18e24fbca7fdfab16741b2a25e2fe84c3dd84cde77d9ad04e09,26/06/2023 04:52:09,ESCANER
23583,"Jutiapa",22,"Jutiapa",1,3704,400,4,42,4,11,16,8,25,34,0,0,6,3,20,0,8,0,8,1,1,1,14,8,0,214,49,7,270,0,270,--,400,130,214,270,270,Algún campo sin dato,1,7c84dbd39ec51e85634a6b93f76d12fe551e55c467e2d9ec3af0a058fe8a4783,26/06/2023 01:58:39,ESCANER
